,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,ratio-lo-fvis,ratio-la-fvis,ratio-lb-fvis,ratio-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo,ratio-lo-fcombo,ratio-la-fcombo,ratio-lb-fcombo,ratio-lm-fcombo,max-lo-fog,max-la-fog,max-lb-fog,max-lm-fog,ratio-lo-fog,ratio-la-fog,ratio-lb-fog,ratio-lm-fog
0,77813.0,"(1035, 567)","[(104, 477), (218, 457), (326, 442), (426, 430), (518, 422), (603, 417), (680, 416), (749, 418), (811, 424), (866, 434), (913, 447), (952, 464), (984, 484), (1008, 508), (1025, 535), (1035, 567)]",3,"[0, 0, 0, 0, 34.37989804767912, 38.88313425169535, 82.54779343336125, 87.13163925446167, 90.25928228131858, 92.22552844393772, 93.28918597454395, 93.49269896610119, 93.07906981817433, 91.96813280131295, 90.33671521841259, 88.03128509223856]",0.26742024206618475,0.26373287477198654,0.2647086967303731,0.264213258603437,0.25226538109067037,0.2487869790501024,0.24970750060937955,0.2492401392498477,0.26742024206618475,0.26449028773216837,0.2664761442877416,0.26566999358697846,0.25132142882107145,0.24856785899435938,0.25043416613373004,0.2496765460508391,0.2703339569233749,0.2703339569233749,0.2703339569233749,0.2703339569233749,0.25,0.25,0.25,0.25
1,80443.0,"(1035, 567)","[(104, 477), (185, 542), (264, 599), (340, 647), (413, 687), (484, 718), (552, 741), (616, 755), (678, 761), (738, 759), (794, 748), (848, 729), (899, 701), (947, 665), (992, 620), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.60311923647447, 75.30703366522792, 81.45067373230475, 88.03128509223856]",0.27316373056242815,0.27073268953833557,0.2708146889335868,0.27065027252578133,0.25167997977758727,0.24944013499833217,0.24951568531424018,0.24936419990984046,0.27316373056242815,0.27817675452136065,0.2720305941023061,0.2725824824142569,0.2492475412585405,0.25382166203753803,0.24821361381870685,0.2487171828852145,0.27449945448757124,0.27449945448757124,0.27449945448757124,0.27449945448757124,0.25,0.25,0.25,0.25
2,62833.0,"(1035, 567)","[(104, 477), (143, 466), (186, 458), (232, 452), (282, 448), (334, 447), (390, 448), (449, 452), (511, 458), (576, 466), (644, 477), (716, 490), (791, 506), (869, 524), (950, 544), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 31.679337013119486, 34.57481081988563, 72.40798489426126, 76.6892766286239, 80.24762299333219, 83.28216303659767, 85.86781031901606, 88.03128509223856]",0.27276539507943165,0.27058453020928597,0.27076488989135733,0.2706279590239303,0.2514562913586491,0.24944580101752098,0.2496120705575082,0.24948583706632174,0.27276539507943165,0.2709191614199983,0.2712186294647195,0.2710967847996076,0.25116519560088246,0.2494651645611625,0.2497409178326019,0.24962872200535322,0.27423339346143033,0.27423339346143033,0.27423339346143033,0.27423339346143033,0.25,0.25,0.25,0.25
3,63319.0,"(1035, 567)","[(104, 477), (166, 453), (228, 434), (291, 419), (353, 408), (415, 402), (478, 399), (540, 401), (602, 407), (664, 417), (726, 432), (788, 450), (849, 473), (911, 500), (973, 531), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 33.695932574503516, 36.951325540544836, 39.48680276788047, 81.20280809961685, 83.95265198935452, 86.00300384112955, 87.2148046018207, 87.94130384763633, 88.21576923818922, 88.03128509223856]",0.271976595621799,0.2701898661269099,0.2703990293031365,0.2702749624443246,0.25116959266128946,0.2495195531849102,0.24971271476799595,0.2495981393858043,0.271976595621799,0.27032994150511014,0.27073267169892756,0.2706006358658699,0.2509843071515849,0.2494647486702729,0.24983639446734304,0.2497145497107992,0.27332678419189677,0.27332678419189677,0.27332678419189677,0.27332678419189677,0.25,0.25,0.25,0.25
4,68951.0,"(1035, 567)","[(104, 477), (134, 453), (170, 434), (210, 419), (254, 408), (303, 401), (356, 399), (413, 401), (475, 407), (542, 417), (613, 431), (688, 450), (768, 473), (852, 500), (941, 531), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 35.974931159298066, 38.4375976939682, 79.08646842995424, 82.20482047802926, 84.64797658627037, 86.58994767429736, 88.03128509223856]",0.2727143377491761,0.2704431087014614,0.2705671408616118,0.2704459721533685,0.25154191410952503,0.24944701397791272,0.2495614167894146,0.2494496551231478,0.2727143377491761,0.2707103971354229,0.27087496167130376,0.2707891734879875,0.25132903421831726,0.249482235611239,0.24963389557239427,0.24955483459804956,0.27421935651165175,0.27421935651165175,0.27421935651165175,0.27421935651165175,0.25,0.25,0.25,0.25
5,102773.0,"(1035, 567)","[(104, 477), (247, 516), (380, 551), (500, 581), (609, 606), (706, 627), (791, 642), (865, 653), (927, 659), (978, 660), (1016, 657), (1043, 648), (1059, 635), (1062, 617), (1054, 594), (1035, 567)]",3,"[0, 0, 0, 0, 0, 31.940288280014357, 34.48478191299036, 71.36215969108727, 74.64375116813972, 77.43481514865046, 79.68369608344025, 81.75733204116, 83.5657580721244, 85.15003937404168, 86.6530628417783, 88.03128509223856]",0.2718265576167259,0.2705076310475745,0.2706505416720667,0.27056161873920676,0.25086749436111744,0.24965026302599583,0.2497821545916996,0.24970008802118712,0.2718265576167259,0.2707522740715752,0.27101099278789204,0.2709056546232142,0.250647939853523,0.24965735615275664,0.24989591751267273,0.2497987864810475,0.2729447921511726,0.2729447921511726,0.2729447921511726,0.2729447921511726,0.25,0.25,0.25,0.25
6,77211.0,"(1035, 567)","[(104, 477), (118, 514), (139, 547), (166, 576), (201, 600), (243, 619), (291, 634), (346, 645), (408, 651), (477, 652), (553, 649), (635, 642), (725, 630), (821, 613), (924, 592), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.55911625551831, 71.96769311213302, 80.16666440775168, 88.03128509223856]",0.27435652109547803,0.27095490505738024,0.2710626831835149,0.2708302691036689,0.25235045639637155,0.24922168308975687,0.24932081636062292,0.24910704415324875,0.27435652109547803,0.28305321391781896,0.2728581961387456,0.27373842208071725,0.24850991146210816,0.2563873052804274,0.24715274086943448,0.24795004238803003,0.27599892614488547,0.27599892614488547,0.27599892614488547,0.27599892614488547,0.25,0.25,0.25,0.25
7,83877.0,"(1035, 567)","[(104, 477), (108, 449), (121, 426), (142, 408), (171, 395), (208, 387), (254, 383), (308, 384), (370, 390), (440, 401), (519, 417), (605, 437), (700, 462), (803, 492), (915, 527), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.76786127379272, 37.70752103737082, 78.61181778326414, 82.4696398017096, 85.58131665276622, 88.03128509223856]",0.27341941059065267,0.27056970148573817,0.2707091356328011,0.2705473256103609,0.251942433411008,0.24931656773141095,0.24944504938615422,0.24929594947142686,0.27341941059065267,0.2712712161101634,0.2711559809624822,0.2710944807810747,0.2515494294009713,0.2495730624172153,0.24946704457604038,0.24941046360577313,0.2751139127139654,0.2751139127139654,0.2751139127139654,0.2751139127139654,0.25,0.25,0.25,0.25
8,60563.0,"(1035, 567)","[(104, 477), (154, 467), (206, 459), (260, 454), (315, 451), (372, 451), (431, 452), (491, 456), (553, 462), (617, 470), (683, 481), (750, 493), (818, 508), (889, 525), (961, 545), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 33.67179712212972, 36.250279417711184, 75.1515052478368, 78.82493580090772, 81.77865396116631, 84.33339010642214, 86.344771016952, 88.03128509223856]",0.2725344937579943,0.27049803912890974,0.27065220165055953,0.27053169460510146,0.25136539756506343,0.24948712439529136,0.24962931235473015,0.249518165684915,0.2725344937579943,0.27076255705526175,0.2710213848790701,0.2709149836016655,0.25112983890165685,0.249497068779368,0.2497355684599038,0.24963752385907143,0.2739438877157374,0.2739438877157374,0.2739438877157374,0.2739438877157374,0.25,0.25,0.25,0.25
9,82157.0,"(1035, 567)","[(104, 477), (184, 421), (261, 374), (337, 335), (409, 306), (479, 286), (546, 274), (611, 271), (673, 277), (732, 292), (789, 316), (844, 348), (895, 389), (944, 440), (991, 499), (1035, 567)]",3,"[0, 0, 0, 0, 0, 42.708167348513946, 46.89969206447995, 97.62349815328062, 100.71829882753806, 101.96662449819496, 101.80854839808285, 100.64655062112641, 98.47835474857396, 95.48082792582213, 92.00802510398864, 88.03128509223856]",0.259456256122325,0.24986572540928614,0.25238490490005816,0.25112339966277514,0.2561695277920739,0.24670048757407187,0.2491877547158219,0.24794222991803225,0.259456256122325,0.24390459798533728,0.25156352861276515,0.24856303254952303,0.2585545689703822,0.2430569574404916,0.2506892710209938,0.24769920256813238,0.2642860920662624,0.2642860920662624,0.2642860920662624,0.2642860920662624,0.25,0.25,0.25,0.25
