,cost,target,path,target_index,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
0,142427.0,"(1035, 307)","[(104, 477), (168, 513), (215, 568), (246, 638), (296, 690), (349, 738), (414, 774), (487, 802), (557, 833), (616, 875), (665, 919), (714, 948), (774, 956), (831, 956), (884, 956), (932, 956), (976, 956), (1020, 956), (1063, 956), (1101, 956), (1144, 956), (1185, 951), (1194, 930), (1148, 900), (1085, 863), (1051, 796), (1044, 702), (1044, 600), (1043, 499), (1043, 398), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
1,47877.0,"(1035, 307)","[(104, 477), (160, 491), (188, 534), (215, 578), (251, 610), (290, 624), (327, 626), (365, 624), (402, 613), (437, 588), (472, 554), (500, 512), (520, 461), (541, 411), (565, 368), (589, 333), (610, 313), (633, 307), (660, 307), (688, 307), (716, 307), (748, 307), (781, 307), (816, 306), (851, 306), (883, 306), (911, 307), (941, 306), (974, 306), (1008, 307), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
2,88503.0,"(1035, 307)","[(104, 477), (156, 496), (191, 532), (220, 574), (246, 619), (287, 649), (342, 666), (392, 688), (426, 724), (454, 768), (482, 811), (503, 861), (515, 915), (530, 950), (561, 953), (606, 937), (653, 915), (694, 885), (725, 844), (750, 798), (777, 753), (816, 721), (870, 704), (928, 691), (982, 673), (1014, 634), (1028, 576), (1033, 510), (1033, 439), (1034, 368), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
3,62771.0,"(1035, 307)","[(104, 477), (63, 433), (39, 372), (34, 294), (36, 222), (55, 210), (81, 253), (109, 292), (146, 305), (186, 306), (227, 306), (270, 306), (307, 306), (342, 306), (377, 306), (413, 307), (456, 307), (509, 307), (561, 307), (605, 306), (647, 307), (690, 307), (737, 307), (782, 307), (823, 307), (865, 306), (904, 307), (934, 307), (971, 307), (1005, 307), (1035, 307)]",1,-70.250000000000000000,-15.245320386061154559,-16.639736544441263238,-15.951479335029355650
4,77327.0,"(1035, 307)","[(104, 477), (139, 518), (175, 559), (200, 611), (238, 650), (281, 684), (324, 716), (363, 742), (396, 754), (424, 756), (455, 756), (494, 756), (532, 756), (568, 756), (600, 756), (633, 756), (670, 756), (709, 757), (752, 757), (801, 757), (856, 757), (908, 756), (948, 756), (980, 752), (1012, 731), (1030, 678), (1033, 604), (1033, 527), (1034, 451), (1034, 374), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
5,34881.0,"(1035, 307)","[(104, 477), (139, 446), (174, 415), (211, 386), (242, 355), (260, 324), (278, 310), (297, 307), (320, 307), (354, 307), (393, 307), (428, 307), (459, 307), (491, 306), (524, 307), (555, 306), (584, 307), (614, 307), (648, 307), (686, 307), (723, 307), (761, 307), (796, 307), (830, 307), (860, 306), (887, 307), (911, 307), (939, 307), (964, 307), (994, 307), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
6,87957.0,"(1035, 307)","[(104, 477), (162, 442), (203, 390), (223, 318), (241, 245), (274, 199), (316, 187), (356, 187), (393, 187), (431, 187), (481, 187), (534, 186), (584, 187), (642, 187), (702, 187), (761, 187), (821, 187), (880, 187), (930, 187), (975, 186), (1025, 187), (1077, 187), (1130, 187), (1186, 187), (1238, 189), (1259, 204), (1224, 237), (1170, 275), (1117, 302), (1065, 306), (1035, 307)]",1,-56.250000000000000000,-30.259944057562914185,-30.918814434005452339,-30.593608587867438959
7,49221.0,"(1035, 307)","[(104, 477), (142, 446), (161, 396), (179, 346), (183, 282), (188, 223), (207, 199), (245, 209), (290, 230), (325, 260), (353, 289), (376, 303), (396, 306), (417, 306), (446, 306), (480, 306), (511, 306), (538, 306), (566, 306), (595, 306), (625, 306), (658, 306), (701, 306), (748, 307), (793, 307), (834, 307), (874, 306), (916, 307), (959, 307), (991, 307), (1035, 307)]",1,-127.25000000000000000,-53.927474507336122216,-55.786263887400041145,-54.868800916307196878
8,114437.0,"(1035, 307)","[(104, 477), (172, 492), (225, 523), (259, 573), (300, 616), (347, 653), (390, 694), (436, 732), (492, 760), (547, 789), (594, 826), (639, 865), (683, 905), (727, 942), (775, 966), (821, 975), (864, 976), (906, 976), (949, 977), (990, 976), (1027, 976), (1051, 971), (1053, 944), (1045, 882), (1044, 800), (1044, 716), (1044, 632), (1043, 549), (1043, 465), (1043, 381), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
9,84359.0,"(1035, 307)","[(104, 477), (62, 519), (36, 576), (12, 636), (5, 711), (10, 776), (35, 784), (78, 754), (123, 717), (166, 676), (214, 640), (263, 606), (304, 563), (340, 516), (383, 474), (423, 431), (456, 381), (489, 337), (529, 313), (572, 307), (613, 307), (658, 307), (706, 307), (752, 307), (794, 307), (826, 307), (854, 307), (886, 307), (940, 307), (1001, 307), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
10,47459.0,"(1035, 307)","[(104, 477), (67, 432), (32, 412), (41, 359), (61, 317), (91, 307), (119, 307), (155, 307), (196, 307), (233, 307), (275, 307), (314, 306), (344, 306), (372, 306), (409, 307), (450, 307), (487, 307), (525, 307), (571, 306), (616, 307), (650, 306), (683, 307), (717, 306), (752, 306), (789, 307), (824, 306), (857, 306), (902, 306), (949, 307), (996, 307), (1035, 307)]",1,-73.250000000000000000,-17.076858426857295097,-18.500896105584437505,-17.798018278927050183
11,50119.0,"(1035, 307)","[(104, 477), (141, 447), (194, 433), (242, 414), (279, 384), (307, 345), (325, 296), (333, 237), (337, 182), (351, 157), (376, 170), (403, 205), (429, 243), (455, 275), (481, 296), (509, 305), (541, 306), (574, 306), (607, 306), (640, 306), (674, 306), (711, 306), (747, 307), (780, 307), (818, 306), (861, 307), (904, 306), (945, 307), (983, 307), (1016, 307), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
12,44405.0,"(1035, 307)","[(104, 477), (74, 476), (38, 470), (44, 441), (87, 415), (134, 391), (175, 360), (216, 333), (254, 314), (287, 308), (317, 307), (346, 307), (376, 307), (412, 307), (447, 307), (478, 307), (510, 306), (548, 307), (591, 306), (632, 307), (671, 307), (710, 307), (747, 307), (773, 307), (796, 306), (820, 307), (848, 307), (886, 307), (940, 306), (991, 307), (1035, 307)]",1,-54.250000000000000000,-8.9853481154506445857,-10.132846154422430030,-9.5664630173926369764
13,40561.0,"(1035, 307)","[(104, 477), (141, 455), (163, 419), (186, 383), (214, 352), (238, 317), (266, 287), (305, 267), (341, 247), (367, 223), (388, 205), (412, 198), (442, 197), (478, 197), (514, 197), (551, 198), (591, 205), (629, 221), (660, 245), (684, 274), (707, 295), (733, 304), (759, 306), (782, 306), (804, 306), (834, 306), (873, 306), (915, 306), (956, 307), (1000, 307), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
14,34585.0,"(1035, 307)","[(104, 477), (137, 446), (184, 428), (234, 414), (275, 393), (298, 368), (314, 358), (329, 356), (344, 351), (361, 337), (380, 319), (406, 309), (440, 307), (479, 307), (520, 307), (559, 307), (595, 307), (629, 307), (662, 307), (694, 307), (730, 307), (767, 307), (800, 307), (824, 307), (850, 307), (883, 307), (920, 307), (951, 307), (977, 307), (1009, 307), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
15,41547.0,"(1035, 307)","[(104, 477), (154, 489), (189, 516), (213, 554), (244, 577), (277, 585), (312, 586), (347, 586), (376, 586), (404, 586), (440, 586), (481, 586), (518, 587), (549, 587), (575, 587), (602, 586), (631, 586), (657, 586), (680, 586), (704, 586), (735, 585), (769, 579), (802, 562), (835, 536), (865, 503), (896, 473), (933, 446), (962, 413), (988, 376), (1020, 345), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
16,35149.0,"(1035, 307)","[(104, 477), (121, 428), (146, 389), (176, 370), (208, 367), (243, 367), (280, 367), (314, 367), (342, 367), (366, 366), (390, 366), (418, 366), (450, 366), (483, 366), (512, 362), (540, 349), (569, 330), (602, 314), (638, 308), (675, 307), (713, 307), (750, 307), (783, 307), (816, 307), (848, 306), (877, 307), (903, 307), (927, 307), (951, 307), (984, 307), (1035, 307)]",1,-62.250000000000000000,-6.7987102801631080210,-8.2044483906485831517,-7.5106028817076536978
17,34873.0,"(1035, 307)","[(104, 477), (128, 435), (165, 406), (200, 383), (235, 377), (269, 376), (307, 370), (344, 350), (376, 325), (403, 311), (426, 307), (445, 307), (463, 307), (483, 307), (512, 307), (543, 307), (572, 307), (597, 306), (625, 307), (658, 306), (692, 306), (727, 307), (760, 307), (790, 306), (827, 306), (872, 306), (914, 306), (958, 307), (992, 306), (1015, 307), (1035, 307)]",1,-35.250000000000000000,-2.7838577628946682406,-3.6069025229665780013,-3.2006633336228102296
18,78253.0,"(1035, 307)","[(104, 477), (120, 531), (149, 573), (185, 607), (223, 640), (256, 678), (293, 711), (330, 745), (354, 791), (363, 853), (367, 912), (381, 942), (408, 935), (445, 908), (487, 881), (531, 854), (574, 826), (614, 795), (651, 762), (690, 730), (730, 699), (766, 665), (801, 630), (842, 599), (883, 570), (920, 537), (959, 505), (1000, 475), (1026, 430), (1033, 367), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
19,79115.0,"(1035, 307)","[(104, 477), (113, 542), (113, 618), (114, 693), (114, 766), (121, 804), (141, 785), (165, 738), (192, 690), (222, 644), (249, 595), (275, 546), (301, 496), (329, 448), (364, 408), (404, 373), (439, 339), (475, 316), (515, 308), (553, 307), (588, 307), (630, 307), (674, 307), (716, 307), (766, 306), (821, 307), (871, 306), (909, 306), (951, 307), (1000, 306), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
