,cost,target,path,target_index,vis1-flat,vis2-dist,vis3-angle,vis4-angle-dist,no-vis,l_agnostic-vis1-flat,l_a-vis1-flat,l_b-vis1-flat,l_multi-vis1-flat,ratio-l_agnostic-vis1-flat-vis1-flat,ratio-l_a-vis1-flat-vis1-flat,ratio-l_b-vis1-flat-vis1-flat,ratio-l_multi-vis1-flat-vis1-flat,l_agnostic-vis2-dist,l_a-vis2-dist,l_b-vis2-dist,l_multi-vis2-dist,ratio-l_agnostic-vis2-dist-vis2-dist,ratio-l_a-vis2-dist-vis2-dist,ratio-l_b-vis2-dist-vis2-dist,ratio-l_multi-vis2-dist-vis2-dist,l_agnostic-vis3-angle,l_a-vis3-angle,l_b-vis3-angle,l_multi-vis3-angle,ratio-l_agnostic-vis3-angle-vis3-angle,ratio-l_a-vis3-angle-vis3-angle,ratio-l_b-vis3-angle-vis3-angle,ratio-l_multi-vis3-angle-vis3-angle,l_agnostic-vis4-angle-dist,l_a-vis4-angle-dist,l_b-vis4-angle-dist,l_multi-vis4-angle-dist,ratio-l_agnostic-vis4-angle-dist-vis4-angle-dist,ratio-l_a-vis4-angle-dist-vis4-angle-dist,ratio-l_b-vis4-angle-dist-vis4-angle-dist,ratio-l_multi-vis4-angle-dist-vis4-angle-dist,l_agnostic-no-vis,l_a-no-vis,l_b-no-vis,l_multi-no-vis,ratio-l_agnostic-no-vis-no-vis,ratio-l_a-no-vis-no-vis,ratio-l_b-no-vis-no-vis,ratio-l_multi-no-vis-no-vis
0,61635.0,"(1035, 567)","[(104, 477), (181, 501), (256, 524), (329, 543), (400, 560), (468, 574), (535, 585), (599, 594), (661, 600), (721, 603), (779, 604), (834, 602), (888, 597), (939, 590), (988, 579), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 32.998929337415746, 63.8612606062149, 109.33596681087431, 163.45181866042117, 211.05733157260852, 248.99533555326025, 282.1737472690181, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 31.318116242285846, 33.641596883546924, 69.8848027704479, 73.81623973682113, 77.6357725085862, 81.17684621148248, 84.7180720792851, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 36.031953604937364, 81.50701604712827, 158.16130864541125, 266.94726767883077, 392.17420155465885, 525.2619720769953, 680.8550018785336, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,75871.0,"(1035, 567)","[(104, 477), (221, 486), (331, 496), (432, 505), (526, 513), (612, 521), (690, 528), (760, 534), (822, 540), (876, 546), (922, 551), (960, 555), (991, 559), (1013, 562), (1028, 564), (1035, 567)]",3,"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 58.03167534313047, 117.95143740702116, 202.53296855316722, 261.6908617519509, 297.73233630425386, 316.646630729324, 323.59843503622494, 321.69518530859807, 316.68635401745104, 311.7985361425227, 305.04714713562186]","[0, 0, 0, 0, 0, 33.140641805455445, 70.61374993984991, 75.27526279568127, 78.85687064184332, 81.59188322216637, 83.73518939522556, 85.39487927648148, 86.6087765728421, 87.41948614844628, 87.95973618076458, 88.03128509223856]","[0, 0, 0, 0, 0, 71.60286377608954, 176.77418673505494, 349.8297933041789, 510.66160428907165, 640.9412129928548, 738.3742592632193, 804.244895635014, 838.4360718971112, 852.3844918486546, 857.6100406651509, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2,108535.0,"(1035, 567)","[(104, 477), (259, 492), (401, 507), (530, 520), (645, 532), (747, 542), (836, 551), (912, 558), (974, 564), (1022, 569), (1058, 572), (1080, 574), (1088, 574), (1084, 573), (1066, 570), (1035, 567)]",3,"[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 74.28413231358172, 174.0429713632176, 255.8940452398764, 298.2423976780937, 309.3861237727926, 302.53096990742796, 290.5513588801043, 279.5428822190652, 276.3287595223198, 279.90217925287175, 292.1283338715178, 305.04714713562186]","[0, 0, 0, 0, 34.03260790900286, 73.53449399654029, 78.68441299624874, 82.54133975241368, 85.31499959104585, 87.24756477446876, 88.6663401774262, 89.48180604134646, 89.83155493407335, 89.73977801677091, 89.19378922881126, 88.03128509223856]","[0, 0, 0, 0, 97.35605100541073, 283.73017436929473, 495.6867848820376, 664.204411815359, 765.6070084500878, 807.7525695620382, 821.5170213663654, 817.2269017707277, 819.7272750349778, 827.3303731624216, 844.5458617949025, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3,120359.0,"(1035, 567)","[(104, 477), (263, 446), (409, 421), (541, 401), (659, 386), (763, 376), (853, 372), (929, 373), (991, 379), (1039, 390), (1073, 406), (1093, 428), (1100, 455), (1092, 487), (1070, 524), (1035, 567)]",3,"[0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 62.876447671828146, 229.10788223663894, 420.44543167132093, 563.8685191013718, 646.2388819628529, 666.1449186766421, 643.174682136562, 599.1596236697724, 546.8822960296031, 493.34529671577616, 439.34153712128835, 379.53098959417576, 305.04714713562186]","[0, 0, 0, 37.00205091445001, 84.74335966739314, 92.99405761342379, 98.33665211452544, 101.7098286581683, 103.60353542157219, 104.31309420776427, 104.01032241735066, 102.69252699202144, 100.51790748359394, 97.39049816604734, 93.27764297105972, 88.03128509223856]","[0, 0, 0, 101.16369548511408, 571.6259182390361, 1485.4002361863106, 2617.8123996719496, 3663.7085642981647, 4268.807155767103, 4312.832391177094, 3911.7980943021284, 3246.2096452421965, 2541.920680710181, 1889.4200810061839, 1323.9397427190997, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
4,105301.0,"(1035, 567)","[(104, 477), (243, 531), (371, 578), (488, 619), (594, 652), (689, 679), (773, 699), (846, 712), (908, 718), (959, 717), (999, 709), (1028, 694), (1046, 673), (1053, 644), (1049, 609), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 5.59025090518287, 7.824218393468698, 9.705190727048375, 26.52970215529774, 55.68706282624919, 95.0271059212015, 150.84562181158554, 220.34434084141054, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 33.464412534498294, 35.21348563313017, 36.76486415916596, 74.7340555853842, 77.41508260866945, 79.94670315294638, 82.56270050070717, 85.1865753637832, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 7.049946141407389, 11.11564126810609, 15.356485159499835, 44.15658707288023, 100.88080354527466, 188.80757321347699, 331.64505352374243, 538.6194731110165, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
5,62259.0,"(1035, 567)","[(104, 477), (163, 509), (223, 537), (283, 562), (344, 583), (405, 600), (467, 614), (528, 624), (590, 630), (653, 632), (716, 630), (779, 625), (842, 616), (906, 603), (970, 587), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4600518551299047, 37.9556298362678, 73.31367479868442, 144.3950978593685, 209.63540138914533, 263.63152504410806, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 29.48489950038419, 32.20446241187196, 67.98055337440495, 73.08367363053195, 78.16891330499836, 83.10059244206586, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3769996010713497, 43.976147268441224, 100.8058711067811, 230.05091250082245, 396.58652333183306, 597.4592184274342, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6,115405.0,"(1035, 567)","[(104, 477), (256, 526), (395, 569), (522, 606), (636, 637), (736, 662), (824, 680), (899, 692), (961, 698), (1010, 698), (1047, 692), (1070, 679), (1080, 660), (1078, 635), (1063, 604), (1035, 567)]",3,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 18.688250714778405, 31.883561493510456, 35.46807259796731, 43.780873837742035, 48.514886787575676, 57.38911906902308, 78.18576479747799, 112.5225055890545, 161.9253362857633, 226.83401372580448, 305.04714713562186]","[0, 0, 0, 0, 0, 31.578627612323583, 34.0177265551135, 70.28730497938953, 73.47762593437122, 76.16558314417532, 78.53713651817063, 80.66469627632085, 82.60230891879472, 84.46069261893456, 86.25068658187219, 88.03128509223856]","[0, 0, 0, 0, 0, 20.764279148730257, 41.74408674398903, 52.67038320088272, 70.50914203128826, 84.45465509603011, 107.7273276374396, 158.4944999932938, 246.21163969726098, 382.54679721092776, 578.3691689531377, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7,81263.0,"(1035, 567)","[(104, 477), (220, 516), (328, 551), (428, 581), (521, 606), (607, 627), (684, 642), (754, 653), (816, 659), (870, 660), (917, 657), (956, 648), (987, 635), (1011, 617), (1026, 594), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 11.339586215539669, 34.36065458339971, 50.0, 81.54972005783048, 110.81885476357576, 140.9990817160969, 171.93158315808307, 208.56362142435648, 253.11929363005044, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 30.362823494031517, 32.65450547088483, 34.62435689989438, 71.09202724200551, 74.22076297411493, 77.20069565745119, 79.94992167076737, 82.67110512367285, 85.32427450474685, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 11.617228607740234, 41.03162888066138, 68.22360474432718, 122.09601542452017, 182.6398560205502, 256.684809611277, 344.9518895234726, 463.0935735883894, 623.7896512898858, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
8,65573.0,"(1035, 567)","[(104, 477), (166, 447), (229, 423), (292, 403), (354, 389), (417, 380), (479, 376), (541, 377), (603, 383), (665, 394), (727, 410), (789, 431), (850, 457), (912, 489), (973, 525), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 13.615378532585567, 71.86333957485022, 128.76721646226252, 232.9202099788754, 323.5947995864434, 392.884961979753, 429.82932150725037, 427.192581405941, 385.0936511895675, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 35.41782806323444, 38.67762353744391, 80.6174807596855, 84.1695515783428, 86.61879197790836, 88.16931435316452, 88.93230730226762, 89.0624267428509, 88.76165114567783, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 19.61694585504631, 130.35616358714023, 280.10325811148203, 567.1988033717865, 862.206312486466, 1111.05791278257, 1250.2580454694105, 1243.7722336548622, 1101.4501243715204, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9,81133.0,"(1035, 567)","[(104, 477), (152, 421), (203, 374), (255, 336), (310, 307), (366, 287), (424, 275), (484, 273), (547, 279), (611, 293), (676, 317), (744, 349), (814, 390), (886, 440), (959, 499), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 39.69575278952726, 101.59191775266407, 192.82355875789233, 309.1868948927063, 413.72563777170456, 484.18290620143864, 494.3337437453132, 431.37299965888224, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 44.12347788173475, 46.52455630701011, 94.22211600324465, 95.21439946502966, 95.20020571519638, 94.26183551971334, 92.64216404564576, 90.48248259970799, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 110.32105502454314, 350.75052113347175, 747.6234424579644, 1235.7571954617595, 1635.7698115452336, 1812.5401895234281, 1698.9070447446215, 1333.0514998278304, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
