,cost,target,path,target_index,vis1-flat,vis2-dist,vis3-angle,vis4-angle-dist,no-vis,l_agnostic-vis1-flat,l_a-vis1-flat,l_b-vis1-flat,l_multi-vis1-flat,ratio-l_agnostic-vis1-flat-vis1-flat,ratio-l_a-vis1-flat-vis1-flat,ratio-l_b-vis1-flat-vis1-flat,ratio-l_multi-vis1-flat-vis1-flat,l_agnostic-vis2-dist,l_a-vis2-dist,l_b-vis2-dist,l_multi-vis2-dist,ratio-l_agnostic-vis2-dist-vis2-dist,ratio-l_a-vis2-dist-vis2-dist,ratio-l_b-vis2-dist-vis2-dist,ratio-l_multi-vis2-dist-vis2-dist,l_agnostic-vis3-angle,l_a-vis3-angle,l_b-vis3-angle,l_multi-vis3-angle,ratio-l_agnostic-vis3-angle-vis3-angle,ratio-l_a-vis3-angle-vis3-angle,ratio-l_b-vis3-angle-vis3-angle,ratio-l_multi-vis3-angle-vis3-angle,l_agnostic-vis4-angle-dist,l_a-vis4-angle-dist,l_b-vis4-angle-dist,l_multi-vis4-angle-dist,ratio-l_agnostic-vis4-angle-dist-vis4-angle-dist,ratio-l_a-vis4-angle-dist-vis4-angle-dist,ratio-l_b-vis4-angle-dist-vis4-angle-dist,ratio-l_multi-vis4-angle-dist-vis4-angle-dist,l_agnostic-no-vis,l_a-no-vis,l_b-no-vis,l_multi-no-vis,ratio-l_agnostic-no-vis-no-vis,ratio-l_a-no-vis-no-vis,ratio-l_b-no-vis-no-vis,ratio-l_multi-no-vis-no-vis
0,99847.0,"(1035, 567)","[(104, 477), (242, 444), (369, 417), (486, 396), (591, 380), (686, 370), (770, 365), (843, 365), (905, 371), (956, 383), (996, 400), (1026, 422), (1044, 450), (1052, 483), (1049, 522), (1035, 567)]",3,"[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 13.69042781372275, 117.10314704871234, 291.3778319052716, 443.80400946731993, 559.3611770470043, 627.7671343872992, 646.5584210785948, 628.1664254511472, 586.3689112573801, 529.4954260156054, 464.2450868346439, 389.96131125764975, 305.04714713562186]","[0, 0, 0, 34.374973614557334, 40.80850572512473, 88.7802681781086, 94.7371062506094, 98.63839193735245, 100.87960186857526, 101.79663512392025, 101.70001704310039, 100.74611672160678, 98.82602337496161, 96.13931856497527, 92.55002371018051, 88.03128509223856]","[0, 0, 0, 18.365175035919936, 249.00637638329803, 856.3515149929909, 1708.7329059777383, 2645.104234696292, 3381.663496616613, 3674.3769627375063, 3529.6767441077595, 3088.877217391462, 2480.5689969717278, 1874.107757776172, 1316.2704725548172, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
1,114423.0,"(1035, 567)","[(104, 477), (246, 540), (378, 596), (498, 643), (606, 682), (703, 713), (788, 735), (861, 749), (923, 755), (974, 753), (1013, 743), (1040, 724), (1056, 697), (1060, 662), (1053, 618), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6978828060229603, 45.94670436524183, 113.98531232589306, 201.87362459395126, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.06895400182729, 78.60879429916764, 81.4895512741638, 84.64455638513243, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.744695538178847, 85.9537319100732, 239.79366870446594, 482.4509244546771, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2,76141.0,"(1035, 567)","[(104, 477), (193, 434), (278, 398), (360, 369), (438, 348), (511, 333), (581, 325), (647, 324), (709, 330), (767, 343), (822, 363), (872, 390), (919, 423), (961, 464), (1000, 512), (1035, 567)]",3,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 56.15655913374138, 125.93449771463821, 249.63224516355297, 364.0693936907519, 459.989187123808, 530.5094238508357, 561.4823840300812, 551.5276665330784, 498.8122070642545, 414.1987993303014, 305.04714713562186]","[0, 0, 0, 0, 0, 40.45781593597246, 44.326838641762734, 92.26051483730987, 95.54273158288959, 97.27335213340476, 97.80837386293769, 97.26849773254384, 96.0298247181582, 93.91611581445187, 91.23654729256026, 88.03128509223856]","[0, 0, 0, 0, 0, 116.25986765791525, 356.16797607295456, 867.1343525895231, 1471.9472578123086, 2027.352201493908, 2396.6453424513925, 2449.995879356733, 2240.9215449492945, 1812.4900512729769, 1320.4097010015084, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3,71637.0,"(1035, 567)","[(104, 477), (208, 460), (307, 446), (399, 436), (486, 429), (566, 425), (640, 425), (708, 427), (771, 433), (827, 443), (876, 455), (920, 471), (958, 490), (990, 512), (1015, 538), (1035, 567)]",3,"[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 1.2615916133989913, 75.0529444742557, 160.0267257365037, 273.33889099763536, 364.22412589598576, 425.6624414541859, 459.35087326549245, 465.40357453577076, 448.2551929880758, 413.29336482833895, 363.6214842630559, 305.04714713562186]","[0, 0, 0, 0, 32.11327055711724, 36.646354298912556, 78.28814884122617, 83.27246577715616, 86.8235839565227, 89.1081051538473, 90.5661339751507, 91.24049480534002, 91.2835638782326, 90.76798655804404, 89.60985382513078, 88.03128509223856]","[0, 0, 0, 0, 1.4527997231318133, 117.77248099007149, 314.36354930961375, 637.7043740967927, 974.3310023006525, 1249.9968828095084, 1434.180054161332, 1493.434774517974, 1436.9240647959869, 1290.6420860011563, 1075.8254634991004, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
4,75827.0,"(1035, 567)","[(104, 477), (213, 454), (316, 436), (412, 422), (502, 412), (584, 406), (660, 404), (729, 406), (791, 412), (846, 422), (895, 436), (936, 454), (971, 476), (999, 502), (1020, 532), (1035, 567)]",3,"[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 22.68982830867725, 99.74383202753762, 214.96446555130183, 331.32501347962653, 421.41948731292524, 481.11232609354846, 509.2990222998927, 506.2205124664437, 479.0837005632891, 433.5782372487461, 375.0858093406982, 305.04714713562186]","[0, 0, 0, 0, 34.172318948066476, 38.74139326439014, 82.51807108121713, 87.2321849646407, 90.43506083184099, 92.43974983295112, 93.51530548159161, 93.71070524164963, 93.23174921395119, 92.10215498184019, 90.37117573492893, 88.03128509223856]","[0, 0, 0, 0, 30.020660712121543, 181.77179108371385, 491.24592955901954, 905.6293355723378, 1317.0633995890662, 1642.937347094267, 1824.6212494629617, 1824.7499309249793, 1682.0380701283107, 1439.0502805253518, 1147.6397234383194, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
5,69439.0,"(1035, 567)","[(104, 477), (195, 450), (283, 428), (366, 411), (445, 398), (520, 390), (590, 387), (657, 388), (719, 394), (777, 405), (830, 420), (880, 440), (925, 465), (965, 494), (1002, 528), (1035, 567)]",3,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 47.614102783917474, 113.34252884497369, 223.80090015251074, 327.2705078440127, 409.3155367124322, 464.18259679663464, 488.70358050115595, 479.5337353167575, 442.85725602312516, 383.11528484592554, 305.04714713562186]","[0, 0, 0, 0, 0, 36.67873393915754, 40.28647269526874, 84.33237186777579, 88.01742841071942, 90.40118780922575, 91.78042108204528, 92.33133779431577, 92.08384021150286, 91.24407427667504, 89.8878124130554, 88.03128509223856]","[0, 0, 0, 0, 0, 74.88551450023299, 231.62626469337422, 549.5335492657946, 926.1124766079533, 1278.8797866915995, 1538.490788622451, 1655.6548638777804, 1599.8178955010071, 1416.2501100038016, 1148.8157164705935, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6,87859.0,"(1035, 567)","[(104, 477), (96, 498), (98, 518), (110, 535), (132, 550), (164, 563), (206, 573), (258, 582), (320, 588), (392, 591), (474, 593), (566, 592), (668, 589), (780, 584), (902, 576), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45.995594735029044, 144.21200116855778, 258.74470353982895, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.14482978251998, 71.81572657540322, 80.33838964949268, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53.07885580880282, 221.42395284619082, 530.281952942625, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7,61069.0,"(1035, 567)","[(104, 477), (178, 501), (251, 522), (322, 541), (391, 558), (459, 571), (525, 583), (588, 591), (651, 597), (711, 601), (769, 601), (826, 600), (881, 595), (934, 588), (985, 579), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 29.276089411213377, 60.41269354086211, 104.06132702705855, 160.34752069920478, 210.5064649951555, 250.98740659969525, 281.81075430638145, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 31.02623045344726, 33.34118498237595, 69.44373604602134, 73.47271184080118, 77.39370420282219, 81.0764805745472, 84.56594564513591, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 31.349966230269292, 75.55590108929715, 148.71616711140297, 259.0247229428495, 387.96264537639684, 527.6511864609369, 676.0033460781224, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
8,74787.0,"(1035, 567)","[(104, 477), (176, 535), (246, 587), (315, 631), (383, 667), (450, 695), (515, 717), (578, 730), (640, 736), (701, 735), (760, 725), (818, 709), (874, 685), (929, 653), (982, 613), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.305314474827867, 36.97948209609547, 123.15215811865204, 214.65223832840758, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.63158183267915, 35.46095626124529, 75.25418582880181, 81.51363035578066, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7486447143382473, 53.43842291222434, 209.961613913691, 457.0652337139895, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9,69299.0,"(1035, 567)","[(104, 477), (138, 516), (176, 552), (219, 582), (265, 607), (315, 628), (369, 644), (427, 654), (489, 660), (555, 662), (625, 658), (699, 649), (777, 636), (859, 618), (945, 594), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.03696238831435, 58.97165623964713, 153.1075501722279, 243.30838325646891, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.672872128041522, 34.24718020312574, 73.99584787359939, 81.15684986590708, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.635194077671835, 78.42298257222726, 251.18129939326374, 512.6456220693399, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
