,cost,target,path,vis1-flat,vis2-dist,vis3-angle,vis4-angle-dist,no-vis,l_agnostic-vis1-flat,l_a-vis1-flat,l_b-vis1-flat,l_multi-vis1-flat,l_agnostic-vis2-dist,l_a-vis2-dist,l_b-vis2-dist,l_multi-vis2-dist,l_agnostic-vis3-angle,l_a-vis3-angle,l_b-vis3-angle,l_multi-vis3-angle,l_agnostic-vis4-angle-dist,l_a-vis4-angle-dist,l_b-vis4-angle-dist,l_multi-vis4-angle-dist,l_agnostic-no-vis,l_a-no-vis,l_b-no-vis,l_multi-no-vis
0,58950.0,"(800, 800)","[(300, 500), (406, 553), (501, 601), (586, 645), (661, 684), (726, 718), (780, 747), (824, 772), (857, 792), (880, 807), (892, 818), (895, 824), (886, 825), (868, 821), (839, 813), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,-0.0070055147058822875,0.08902867647058832,0.08902867647058832,0.08902867647058832,0.08902867647058832
1,49702.0,"(800, 800)","[(300, 500), (402, 520), (494, 541), (577, 561), (650, 581), (712, 602), (765, 622), (809, 642), (842, 662), (865, 682), (879, 702), (883, 721), (877, 741), (861, 761), (835, 780), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.06136389705882361,0.1777067156862745,0.1777067156862745,0.1777067156862745,0.1777067156862745
2,42970.0,"(800, 800)","[(300, 500), (381, 555), (455, 606), (523, 652), (583, 692), (637, 728), (684, 758), (724, 783), (758, 803), (784, 818), (804, 828), (817, 832), (823, 832), (822, 826), (814, 815), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.056902205882352924,0.1757069117647059,0.1757069117647059,0.1757069117647059,0.1757069117647059
3,53434.0,"(800, 800)","[(300, 500), (392, 476), (476, 459), (552, 448), (619, 443), (678, 445), (728, 452), (770, 466), (803, 486), (828, 512), (844, 545), (852, 583), (852, 628), (843, 679), (825, 736), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.17877117647058827,0.31985558823529436,0.31985558823529436,0.31985558823529436,0.31985558823529436
4,25068.0,"(800, 800)","[(300, 500), (332, 540), (365, 578), (397, 613), (430, 644), (463, 673), (496, 699), (529, 722), (563, 742), (596, 759), (630, 773), (663, 784), (697, 793), (731, 798), (765, 800), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.2301952941176471,0.3975346078431372,0.3975346078431372,0.3975346078431372,0.3975346078431372
5,44902.0,"(800, 800)","[(300, 500), (343, 458), (386, 426), (427, 402), (466, 387), (504, 380), (540, 383), (575, 394), (608, 414), (640, 443), (671, 480), (699, 527), (727, 582), (752, 646), (777, 718), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.3628050735294118,0.5500041666666668,0.5500041666666668,0.5500041666666668,0.5500041666666668
6,27074.0,"(800, 800)","[(300, 500), (357, 534), (411, 566), (461, 597), (508, 625), (552, 651), (592, 675), (629, 697), (662, 717), (692, 735), (719, 751), (742, 765), (761, 777), (777, 786), (790, 794), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.1640399264705882,0.31535480392156856,0.31535480392156856,0.31535480392156856,0.31535480392156856
7,38990.0,"(800, 800)","[(300, 500), (284, 499), (275, 501), (273, 506), (279, 515), (291, 526), (310, 540), (337, 557), (370, 577), (410, 600), (458, 626), (512, 655), (573, 686), (642, 721), (717, 759), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.47114816176470603,0.6860125490196078,0.6860125490196078,0.6860125490196078,0.6860125490196078
8,58804.0,"(800, 800)","[(300, 500), (377, 453), (448, 417), (512, 389), (571, 371), (623, 363), (669, 364), (709, 375), (742, 395), (769, 424), (790, 463), (804, 511), (812, 569), (814, 637), (810, 713), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.2744777941176471,0.4344932352941177,0.4344932352941177,0.4344932352941177,0.4344932352941177
9,40180.0,"(800, 800)","[(300, 500), (363, 473), (422, 454), (477, 440), (528, 434), (574, 434), (616, 441), (654, 454), (687, 474), (716, 501), (741, 534), (761, 574), (777, 620), (789, 674), (796, 733), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.26859485294117647,0.43690696078431374,0.43690696078431374,0.43690696078431374,0.43690696078431374
10,59894.0,"(800, 800)","[(300, 500), (412, 505), (514, 512), (604, 522), (683, 534), (750, 548), (806, 563), (851, 581), (884, 601), (906, 623), (917, 648), (916, 674), (904, 702), (881, 732), (846, 765), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.06310683823529417,0.17462622549019619,0.17462622549019619,0.17462622549019619,0.17462622549019619
11,59870.0,"(800, 800)","[(300, 500), (413, 514), (516, 530), (607, 546), (686, 563), (754, 581), (811, 599), (855, 619), (889, 639), (911, 659), (921, 681), (920, 703), (907, 726), (883, 750), (847, 774), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.04161323529411759,0.14826921568627455,0.14826921568627455,0.14826921568627455,0.14826921568627455
12,26430.0,"(800, 800)","[(300, 500), (326, 495), (353, 494), (381, 497), (411, 503), (441, 512), (472, 525), (504, 542), (538, 562), (572, 585), (608, 612), (644, 643), (681, 677), (720, 714), (759, 755), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.33687279411764715,0.5277400980392158,0.5277400980392158,0.5277400980392158,0.5277400980392158
13,88830.0,"(800, 800)","[(300, 500), (426, 465), (539, 439), (639, 421), (725, 410), (799, 407), (859, 411), (905, 423), (939, 443), (959, 471), (965, 507), (959, 550), (939, 601), (906, 659), (859, 725), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.11325367647058815,0.22120274509803928,0.22120274509803928,0.22120274509803928,0.22120274509803928
14,33928.0,"(800, 800)","[(300, 500), (331, 475), (363, 457), (396, 446), (428, 441), (461, 442), (494, 449), (527, 463), (560, 483), (594, 509), (628, 542), (661, 581), (696, 626), (730, 677), (765, 735), (800, 800)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.36148095588235296,0.5542132352941178,0.5542132352941178,0.5542132352941178,0.5542132352941178
