,cost,target,path,target_index,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
0,41481.0,"(1035, 567)","[(104, 477), (159, 456), (213, 437), (265, 420), (315, 404), (364, 390), (411, 378), (457, 367), (500, 358), (542, 350), (583, 344), (621, 340), (658, 337), (693, 336), (727, 337), (759, 339), (789, 343), (817, 348), (844, 355), (869, 364), (893, 374), (915, 386), (935, 400), (953, 415), (970, 432), (985, 450), (998, 470), (1010, 492), (1020, 515), (1028, 540), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
1,40093.0,"(1035, 567)","[(104, 477), (117, 506), (132, 535), (148, 561), (166, 585), (184, 608), (204, 628), (225, 647), (247, 664), (270, 679), (295, 692), (321, 704), (348, 713), (376, 721), (405, 727), (435, 731), (467, 733), (500, 733), (534, 731), (569, 728), (605, 722), (643, 715), (682, 706), (722, 695), (763, 682), (805, 668), (849, 651), (893, 633), (939, 613), (986, 590), (1035, 567)]",3,-137.25000000000000000,-11.030672199186372620,-14.975989613600010597,-13.034650718855826966
2,39453.0,"(1035, 567)","[(104, 477), (107, 493), (111, 508), (118, 522), (127, 536), (138, 548), (151, 560), (165, 571), (182, 581), (200, 590), (221, 598), (243, 605), (267, 611), (294, 616), (322, 621), (352, 624), (384, 627), (418, 628), (454, 629), (491, 629), (531, 628), (573, 626), (616, 623), (662, 619), (709, 614), (759, 608), (810, 602), (863, 594), (918, 586), (975, 577), (1035, 567)]",3,-182.24999999999999991,-10.664188737488891069,-16.027555038318715188,-13.388448849163426558
3,36825.0,"(1035, 567)","[(104, 477), (113, 496), (124, 514), (137, 531), (151, 546), (167, 561), (184, 575), (202, 587), (223, 598), (244, 609), (267, 618), (291, 626), (317, 633), (345, 638), (373, 643), (404, 647), (436, 649), (469, 650), (503, 651), (540, 650), (577, 648), (616, 645), (657, 640), (699, 635), (743, 629), (788, 621), (834, 612), (882, 603), (931, 592), (982, 580), (1035, 567)]",3,-88.250000000000000000,-5.0605723954892804815,-7.6608769854576632972,-6.3813671492541030593
4,33695.0,"(1035, 567)","[(104, 477), (155, 480), (205, 484), (254, 488), (302, 491), (348, 495), (392, 498), (435, 502), (477, 505), (517, 509), (556, 512), (594, 515), (630, 518), (664, 521), (698, 524), (729, 528), (760, 530), (788, 533), (816, 536), (842, 539), (867, 542), (890, 545), (912, 547), (932, 550), (951, 552), (968, 555), (984, 557), (999, 560), (1012, 562), (1024, 564), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
5,39209.0,"(1035, 567)","[(104, 477), (104, 484), (107, 492), (112, 499), (119, 505), (129, 512), (140, 518), (153, 524), (169, 529), (186, 534), (206, 539), (227, 543), (251, 548), (277, 551), (305, 555), (335, 558), (367, 561), (401, 563), (437, 566), (476, 567), (516, 569), (558, 570), (603, 571), (650, 572), (698, 572), (749, 572), (802, 571), (857, 571), (914, 570), (973, 568), (1035, 567)]",3,-113.25000000000000000,-4.3671957683949729766,-7.7706144931647425480,-6.0959230928333499930
6,41049.0,"(1035, 567)","[(104, 477), (168, 480), (230, 483), (290, 487), (347, 490), (403, 493), (456, 496), (506, 500), (555, 503), (601, 506), (644, 509), (686, 512), (725, 515), (762, 518), (796, 521), (828, 525), (858, 527), (886, 530), (911, 533), (934, 536), (955, 539), (973, 542), (989, 545), (1003, 548), (1014, 550), (1023, 553), (1030, 556), (1035, 559), (1037, 561), (1037, 564), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
7,30801.0,"(1035, 567)","[(104, 477), (125, 487), (147, 497), (169, 506), (192, 515), (216, 524), (241, 532), (266, 539), (292, 546), (319, 552), (346, 558), (374, 563), (403, 568), (432, 572), (462, 576), (493, 580), (524, 582), (556, 584), (589, 586), (622, 587), (656, 588), (691, 588), (727, 588), (763, 587), (800, 586), (837, 584), (875, 581), (914, 578), (953, 575), (994, 571), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
8,40061.0,"(1035, 567)","[(104, 477), (164, 468), (223, 460), (280, 453), (335, 447), (387, 442), (438, 437), (486, 433), (533, 430), (577, 428), (619, 427), (660, 426), (698, 426), (734, 427), (768, 429), (800, 432), (830, 435), (858, 439), (884, 444), (908, 450), (930, 457), (949, 464), (967, 472), (983, 481), (996, 491), (1008, 502), (1017, 513), (1025, 525), (1030, 538), (1033, 552), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
9,49907.0,"(1035, 567)","[(104, 477), (173, 457), (239, 440), (303, 424), (364, 409), (423, 396), (479, 385), (532, 375), (583, 366), (631, 359), (677, 354), (720, 350), (760, 348), (797, 347), (832, 348), (865, 350), (894, 354), (922, 359), (946, 366), (968, 374), (987, 384), (1004, 395), (1018, 408), (1029, 423), (1038, 439), (1044, 456), (1047, 475), (1048, 496), (1046, 518), (1042, 541), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
