,cost,target,path,target_index,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
0,56395.0,"(1035, 307)","[(104, 477), (103, 510), (105, 540), (109, 568), (115, 593), (124, 615), (134, 635), (147, 652), (161, 666), (178, 678), (198, 687), (219, 693), (242, 697), (268, 698), (296, 696), (326, 692), (358, 685), (392, 675), (429, 663), (467, 648), (508, 630), (551, 610), (596, 587), (643, 561), (693, 533), (744, 502), (798, 468), (854, 432), (912, 393), (972, 351), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
1,30423.0,"(1035, 307)","[(104, 477), (138, 464), (171, 453), (205, 441), (238, 430), (272, 420), (305, 410), (337, 401), (370, 392), (402, 383), (435, 375), (466, 367), (498, 360), (530, 353), (561, 347), (592, 341), (623, 336), (654, 331), (684, 326), (715, 322), (745, 318), (775, 315), (804, 312), (834, 310), (863, 308), (892, 307), (921, 306), (950, 305), (978, 305), (1006, 306), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
2,35005.0,"(1035, 307)","[(104, 477), (128, 492), (153, 506), (178, 518), (204, 529), (230, 538), (257, 547), (284, 553), (311, 558), (339, 562), (368, 564), (397, 565), (426, 565), (456, 562), (486, 559), (517, 554), (549, 548), (580, 540), (612, 531), (645, 520), (678, 508), (712, 494), (746, 479), (780, 462), (815, 445), (851, 425), (886, 404), (923, 382), (960, 358), (997, 333), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
3,44871.0,"(1035, 307)","[(104, 477), (172, 475), (238, 474), (301, 472), (361, 470), (419, 468), (475, 466), (528, 463), (578, 459), (626, 456), (671, 452), (714, 448), (754, 443), (791, 438), (826, 433), (858, 428), (888, 422), (915, 416), (940, 409), (962, 402), (981, 395), (998, 388), (1012, 380), (1024, 372), (1033, 364), (1040, 355), (1044, 346), (1046, 336), (1044, 327), (1041, 317), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
4,35967.0,"(1035, 307)","[(104, 477), (155, 483), (205, 489), (254, 494), (301, 498), (347, 502), (392, 504), (435, 506), (477, 506), (517, 506), (556, 505), (593, 503), (629, 501), (664, 497), (697, 493), (729, 488), (759, 481), (788, 474), (815, 467), (842, 458), (866, 449), (889, 438), (911, 427), (932, 415), (951, 402), (968, 388), (984, 374), (999, 358), (1012, 342), (1024, 325), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
5,46529.0,"(1035, 307)","[(104, 477), (114, 504), (126, 530), (139, 553), (153, 574), (169, 593), (187, 610), (206, 624), (226, 635), (248, 645), (271, 652), (296, 657), (322, 659), (349, 659), (378, 657), (408, 653), (440, 646), (473, 637), (508, 625), (544, 611), (581, 595), (620, 577), (660, 556), (702, 533), (745, 508), (790, 480), (836, 450), (884, 417), (932, 383), (983, 346), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
6,50625.0,"(1035, 307)","[(104, 477), (166, 501), (227, 524), (286, 545), (342, 563), (396, 580), (448, 594), (498, 606), (546, 617), (591, 625), (634, 631), (675, 634), (714, 636), (750, 636), (785, 633), (817, 629), (847, 622), (874, 613), (900, 602), (923, 589), (944, 574), (963, 557), (980, 537), (995, 516), (1007, 492), (1017, 467), (1025, 439), (1031, 409), (1034, 377), (1035, 343), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
7,47685.0,"(1035, 307)","[(104, 477), (175, 477), (244, 476), (310, 476), (373, 474), (433, 473), (491, 471), (546, 469), (598, 466), (647, 463), (693, 459), (737, 456), (778, 451), (816, 447), (851, 441), (883, 436), (913, 430), (940, 424), (964, 417), (985, 410), (1004, 403), (1019, 395), (1032, 387), (1042, 378), (1049, 369), (1054, 360), (1056, 350), (1055, 340), (1051, 329), (1044, 318), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
8,46351.0,"(1035, 307)","[(104, 477), (173, 477), (241, 477), (305, 477), (367, 476), (426, 475), (483, 474), (537, 472), (588, 469), (636, 466), (682, 463), (725, 459), (766, 455), (803, 450), (838, 445), (871, 440), (900, 434), (927, 428), (952, 421), (973, 414), (992, 406), (1009, 398), (1022, 390), (1033, 381), (1041, 372), (1047, 362), (1050, 352), (1050, 341), (1048, 330), (1042, 318), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
9,30701.0,"(1035, 307)","[(104, 477), (143, 469), (182, 462), (221, 454), (259, 447), (296, 440), (333, 434), (369, 427), (405, 420), (440, 414), (474, 407), (508, 401), (541, 395), (573, 389), (605, 383), (637, 378), (667, 372), (698, 366), (727, 361), (756, 356), (784, 351), (812, 346), (839, 341), (866, 336), (892, 332), (917, 327), (942, 323), (966, 318), (989, 314), (1012, 310), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
10,30959.0,"(1035, 307)","[(104, 477), (142, 478), (180, 478), (218, 479), (255, 478), (292, 478), (328, 476), (363, 475), (398, 473), (433, 470), (467, 467), (500, 463), (533, 459), (565, 455), (597, 450), (628, 445), (659, 439), (689, 432), (719, 425), (748, 418), (777, 410), (805, 402), (833, 393), (860, 384), (886, 374), (912, 364), (938, 354), (963, 343), (987, 331), (1011, 319), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
11,30513.0,"(1035, 307)","[(104, 477), (138, 478), (172, 479), (206, 480), (239, 480), (272, 479), (306, 478), (338, 477), (371, 475), (404, 473), (436, 470), (468, 466), (500, 462), (531, 458), (563, 453), (594, 448), (625, 442), (655, 435), (686, 428), (716, 421), (746, 413), (776, 405), (806, 396), (835, 386), (864, 376), (893, 366), (922, 355), (950, 344), (979, 332), (1007, 319), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
12,42743.0,"(1035, 307)","[(104, 477), (134, 506), (165, 532), (196, 557), (227, 579), (257, 598), (288, 615), (319, 630), (350, 642), (381, 652), (412, 660), (443, 665), (474, 668), (505, 668), (536, 666), (567, 662), (598, 655), (629, 645), (660, 634), (691, 620), (722, 603), (753, 584), (784, 563), (816, 539), (847, 513), (878, 485), (909, 454), (941, 421), (972, 385), (1003, 347), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
13,39623.0,"(1035, 307)","[(104, 477), (105, 477), (109, 478), (114, 478), (122, 477), (132, 477), (144, 475), (157, 473), (173, 471), (191, 468), (211, 465), (233, 462), (257, 457), (283, 453), (311, 448), (341, 443), (373, 437), (407, 430), (443, 423), (481, 416), (521, 409), (563, 400), (608, 392), (654, 383), (702, 373), (753, 363), (805, 353), (859, 342), (916, 331), (974, 319), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
14,46407.0,"(1035, 307)","[(104, 477), (173, 461), (239, 447), (303, 433), (365, 420), (424, 407), (480, 395), (533, 384), (584, 374), (632, 364), (678, 355), (721, 346), (761, 338), (798, 331), (833, 324), (866, 318), (895, 313), (923, 308), (947, 304), (969, 301), (988, 298), (1004, 296), (1018, 294), (1030, 294), (1038, 293), (1044, 294), (1048, 295), (1048, 297), (1046, 300), (1042, 303), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
15,35395.0,"(1035, 307)","[(104, 477), (112, 471), (122, 466), (133, 461), (146, 455), (161, 450), (177, 444), (195, 439), (214, 434), (235, 428), (258, 423), (282, 417), (307, 411), (334, 406), (363, 400), (393, 395), (425, 389), (458, 383), (493, 377), (530, 372), (568, 366), (608, 360), (649, 354), (692, 348), (736, 342), (782, 337), (829, 331), (878, 325), (929, 319), (981, 313), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
