,cost,target,path,target_index,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
0,56669.0,"(1235, 437)","[(104, 477), (112, 454), (123, 433), (136, 413), (150, 394), (167, 378), (186, 362), (207, 348), (229, 336), (254, 325), (281, 316), (309, 308), (340, 301), (373, 296), (408, 293), (444, 291), (483, 290), (524, 291), (566, 293), (611, 297), (658, 302), (706, 309), (757, 317), (810, 327), (864, 338), (921, 351), (980, 365), (1040, 381), (1103, 398), (1168, 416), (1235, 437)]",2,-282.25000000000000000,-175.85877803619513196,-178.68577831213920256,-177.29131061843529565
1,55093.0,"(1235, 437)","[(104, 477), (125, 505), (148, 532), (172, 557), (197, 579), (224, 600), (251, 618), (279, 635), (309, 649), (339, 661), (371, 671), (404, 679), (438, 685), (473, 689), (509, 691), (546, 691), (584, 688), (623, 684), (664, 677), (705, 669), (748, 658), (792, 645), (836, 630), (882, 613), (929, 594), (978, 573), (1027, 550), (1077, 525), (1128, 497), (1181, 468), (1235, 437)]",2,-412.250000000000000,-128.61714569824471157,-136.15376519163351191,-132.43619484234868754
2,51121.0,"(1235, 437)","[(104, 477), (168, 484), (231, 490), (292, 496), (351, 502), (408, 507), (463, 511), (516, 514), (568, 517), (618, 520), (666, 522), (712, 523), (756, 524), (798, 524), (839, 524), (877, 523), (914, 521), (949, 519), (982, 516), (1013, 512), (1043, 509), (1070, 504), (1096, 499), (1120, 493), (1142, 487), (1162, 480), (1180, 472), (1196, 464), (1211, 456), (1224, 446), (1235, 437)]",2,-412.250000000000000,-245.88027136729102899,-250.30100514656295229,-248.12040032309805545
3,43827.0,"(1235, 437)","[(104, 477), (152, 476), (199, 475), (245, 474), (291, 473), (337, 472), (381, 470), (425, 469), (468, 468), (510, 467), (552, 466), (593, 465), (633, 463), (672, 462), (711, 461), (749, 460), (787, 458), (823, 457), (859, 455), (894, 454), (929, 453), (963, 451), (996, 450), (1028, 448), (1060, 446), (1091, 445), (1121, 443), (1150, 442), (1179, 440), (1207, 438), (1235, 437)]",2,-412.250000000000000,-233.48605228143478192,-238.23612207291781293,-235.89306645901276316
4,44709.0,"(1235, 437)","[(104, 477), (150, 465), (196, 454), (241, 443), (286, 434), (330, 425), (374, 417), (417, 409), (459, 402), (501, 396), (542, 391), (582, 387), (622, 383), (661, 380), (700, 377), (738, 376), (775, 375), (812, 374), (848, 375), (884, 376), (919, 378), (953, 380), (987, 384), (1020, 388), (1052, 393), (1084, 398), (1115, 404), (1146, 411), (1176, 419), (1206, 427), (1235, 437)]",2,-412.250000000000000,-253.86920906646183942,-258.07766284120725530,-256.00176887003707453
5,56223.0,"(1235, 437)","[(104, 477), (177, 477), (248, 478), (316, 479), (382, 479), (445, 480), (507, 480), (565, 480), (621, 480), (675, 479), (726, 479), (775, 478), (821, 477), (865, 476), (906, 475), (945, 474), (982, 473), (1016, 471), (1047, 469), (1076, 467), (1103, 465), (1127, 463), (1149, 461), (1168, 458), (1185, 456), (1199, 453), (1211, 450), (1221, 447), (1228, 444), (1232, 440), (1235, 437)]",2,-412.250000000000000,-270.41806201946467296,-274.18678391594844882,-272.32779544116094405
6,43067.0,"(1235, 437)","[(104, 477), (145, 471), (186, 465), (227, 460), (268, 455), (308, 451), (348, 446), (388, 442), (428, 439), (467, 436), (507, 433), (545, 430), (584, 427), (622, 425), (660, 423), (698, 422), (736, 421), (773, 420), (810, 419), (847, 419), (884, 419), (920, 420), (956, 420), (992, 421), (1027, 422), (1062, 424), (1097, 426), (1132, 428), (1166, 431), (1201, 433), (1235, 437)]",2,-412.250000000000000,-231.05961647130138527,-235.87416089309877313,-233.49930203184283139
7,49715.0,"(1235, 437)","[(104, 477), (121, 459), (141, 443), (161, 428), (183, 414), (207, 401), (231, 389), (257, 378), (285, 368), (314, 360), (344, 353), (375, 346), (408, 341), (443, 337), (478, 334), (515, 332), (554, 331), (593, 332), (635, 333), (677, 336), (721, 339), (766, 344), (813, 350), (861, 357), (910, 365), (961, 374), (1013, 384), (1066, 396), (1121, 408), (1177, 422), (1235, 437)]",2,-412.250000000000000,-204.48196526609499391,-210.00272422236425421,-207.27951259951677523
8,56257.0,"(1235, 437)","[(104, 477), (177, 471), (247, 466), (316, 461), (382, 457), (445, 453), (506, 449), (564, 445), (620, 442), (674, 438), (725, 436), (774, 433), (820, 431), (864, 429), (905, 427), (944, 426), (981, 424), (1015, 423), (1046, 423), (1075, 422), (1102, 422), (1126, 422), (1148, 423), (1168, 424), (1184, 425), (1199, 426), (1211, 428), (1220, 429), (1228, 431), (1232, 434), (1235, 437)]",2,-412.250000000000000,-282.23107604114341936,-285.68590555738571022,-283.98175002947522352
9,71685.0,"(1235, 437)","[(104, 477), (98, 446), (96, 418), (96, 392), (100, 367), (106, 345), (115, 325), (128, 307), (143, 290), (162, 276), (183, 264), (207, 253), (235, 245), (265, 239), (298, 234), (334, 232), (373, 232), (416, 233), (461, 237), (509, 243), (560, 250), (614, 260), (671, 272), (731, 285), (794, 301), (860, 318), (929, 338), (1001, 360), (1076, 383), (1154, 409), (1235, 437)]",2,-142.25000000000000000,-112.04247445680070050,-112.84514108163995979,-112.44921162713047044
