,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
0,45129.0,"(1035, 567)","[(104, 477), (135, 446), (163, 412), (194, 381), (222, 347), (248, 312), (270, 276), (298, 262), (333, 275), (371, 297), (412, 318), (459, 333), (508, 346), (555, 361), (596, 382), (634, 406), (667, 435), (696, 468), (722, 503), (749, 534), (777, 555), (807, 564), (840, 566), (870, 566), (893, 566), (911, 566), (932, 566), (959, 566), (982, 567), (1001, 567), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.58811438835668, 39.289761830058076, 40.50662441747859, 40.89121314761403, 80.19218566554936, 79.23875622772769, 77.62657907453107, 75.73344600772691, 74.48745455112024, 74.38608456452299, 75.56321468216164, 77.51651009103884, 79.36742038028481, 80.72687463350513, 81.75646190681819, 82.92114383978328, 84.36339100098414, 85.4577612976215, 86.40409647951205, 88.03128509223856]",0.0080645161290322580645,0.00037890284217267171801,0.00029612129757525517947,0.00016971608232068212759,0.0080645161290322580645,-0.000045991878019912876134,-0.000046071367272229852536,-0.000022950294975998356458
1,35409.0,"(1035, 567)","[(104, 477), (128, 518), (168, 544), (199, 575), (214, 593), (228, 578), (246, 568), (270, 567), (297, 567), (323, 567), (351, 567), (386, 567), (422, 567), (454, 567), (483, 567), (507, 567), (529, 567), (555, 567), (591, 567), (635, 566), (675, 567), (707, 567), (734, 567), (761, 567), (788, 566), (817, 566), (853, 567), (892, 566), (932, 567), (978, 567), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.73593890073039, 31.8367811663569, 33.51837231311187, 34.81970903450271, 70.09073430457369, 72.083893046388, 74.08402268343698, 76.03467379387544, 78.2364519811693, 80.66880486896065, 82.83136226667968, 85.25501816177945, 88.03128509223856]",0.040322580645161290323,0.0033130405666913702161,0.0023949565903078413242,0.0014397155714457918641,0.040322580645161290323,-0.00029823929813118728743,-0.00024553567172870247459,-0.00013421845642656594088
2,41157.0,"(1035, 567)","[(104, 477), (140, 450), (171, 417), (208, 391), (243, 363), (279, 336), (314, 316), (349, 308), (380, 308), (406, 317), (429, 341), (453, 375), (482, 408), (516, 438), (552, 464), (588, 491), (618, 521), (644, 548), (673, 562), (706, 566), (739, 566), (771, 566), (802, 566), (828, 566), (849, 567), (874, 567), (901, 567), (928, 567), (956, 567), (992, 567), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.30161756085839, 33.22279529613233, 33.498903819293304, 33.685601933178475, 33.41633378519902, 33.15311874198308, 33.68449298150669, 34.82949047723633, 70.5644424089445, 72.8957958161115, 75.03747437840963, 76.75037891726608, 77.98791346354159, 79.51515019562423, 81.09696198802652, 82.61229902896741, 84.11740012364538, 85.9592381756711, 88.03128509223856]",0.0080645161290322580645,0.00054432179022330664326,0.00033508760585631335207,0.00021288178430882076423,0.0080645161290322580645,-0.000052400038078878141342,-0.000046486023797868076020,-0.000024558078835181784382
3,50285.0,"(1035, 567)","[(104, 477), (156, 487), (202, 502), (238, 529), (271, 559), (312, 579), (355, 599), (391, 625), (420, 659), (445, 696), (467, 737), (492, 774), (523, 802), (559, 817), (590, 824), (615, 826), (636, 826), (655, 826), (674, 827), (702, 826), (742, 826), (784, 825), (822, 815), (854, 792), (884, 761), (919, 734), (953, 705), (972, 662), (985, 613), (1008, 575), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72.47565300666487, 76.9462371548018, 81.67053849124446, 86.05741299318389, 88.03128509223856]",0.0080645161290322580645,0.0010893198446427051002,0.0010518338640575726183,0.00057315639002897621690,0.0080645161290322580645,-0.000090313830761897161783,-0.000086726269889945791279,-0.000044000464393026043035
4,37911.0,"(1035, 567)","[(104, 477), (161, 479), (191, 511), (220, 542), (262, 560), (302, 581), (331, 612), (358, 643), (387, 660), (415, 665), (440, 666), (463, 666), (487, 662), (511, 649), (537, 627), (569, 602), (607, 582), (648, 571), (688, 567), (727, 567), (765, 567), (806, 567), (843, 567), (869, 567), (887, 567), (904, 567), (926, 566), (955, 566), (987, 566), (1012, 567), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.753159304635673, 32.16300513186111, 34.05574439431291, 69.55885860751478, 72.37149550282666, 75.21066453996153, 77.61205481599721, 79.21462491564033, 80.28529779304937, 81.26854763708073, 82.592298299529, 84.15352626249953, 85.79678596179022, 86.93965422724844, 88.03128509223856]",0.0080645161290322580645,0.00049731192095312872279,0.00040433159219283377628,0.00022935632471147204037,0.0080645161290322580645,-0.000049653058779283736501,-0.000045181251842464637364,-0.000023586674452953692564
5,75095.0,"(1035, 567)","[(104, 477), (171, 514), (220, 567), (275, 586), (330, 586), (378, 586), (417, 586), (464, 586), (526, 587), (586, 586), (628, 587), (660, 586), (701, 586), (760, 587), (823, 586), (873, 587), (912, 587), (947, 587), (993, 586), (1045, 586), (1096, 586), (1149, 586), (1202, 586), (1249, 586), (1273, 579), (1259, 569), (1230, 567), (1197, 567), (1136, 567), (1090, 567), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.48133603477714, 31.947438375694883, 33.654740274764094, 70.09871109129037, 74.55749051968597, 77.6281375708524, 79.92750549949591, 81.87585214478098, 84.36910289437327, 86.89702669233066, 89.19714530992366, 91.41748551142575, 93.48104729880168, 95.19181680088204, 96.54640511553882, 96.82064270757942, 95.96434197064637, 94.76908826457836, 92.41206448686214, 90.4960274666362, 88.03128509223856]",0.0080645161290322580645,0.00031012822422893759520,0.00026834212041829889045,0.00014647596197662388469,0.0080645161290322580645,-0.000041133343122025851461,-0.000041572758601157251235,-0.000020623068012055372125
6,43459.0,"(1035, 567)","[(104, 477), (147, 493), (183, 517), (216, 544), (245, 575), (275, 605), (306, 634), (338, 662), (369, 690), (399, 720), (426, 746), (453, 761), (481, 766), (518, 766), (560, 766), (600, 766), (637, 766), (672, 766), (703, 766), (732, 766), (765, 766), (804, 766), (837, 765), (859, 758), (878, 736), (900, 703), (927, 670), (959, 642), (991, 614), (1009, 576), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.554841096512725, 73.74552453806997, 77.86098994566846, 81.89870173107889, 86.02061170727683, 88.03128509223856]",0.0080645161290322580645,0.0010837101081294655296,0.00091100250653780134498,0.00052730161691209123373,0.0080645161290322580645,-0.000089830744464856607896,-0.000076019672691203048638,-0.000040965917493462433378
7,49165.0,"(1035, 567)","[(104, 477), (126, 518), (167, 541), (196, 575), (225, 609), (257, 641), (289, 673), (315, 711), (336, 753), (352, 791), (372, 808), (402, 799), (439, 777), (480, 756), (521, 733), (555, 703), (581, 666), (604, 626), (628, 592), (662, 573), (702, 567), (736, 567), (760, 567), (780, 567), (810, 567), (849, 567), (889, 567), (915, 566), (948, 567), (992, 567), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.238836259322923, 32.670513598331596, 34.621087992209254, 70.2415348065056, 72.01168825939712, 73.43290370695343, 75.47739975135443, 77.98791346354159, 80.40236359180955, 81.98129095208219, 83.69404560008869, 85.9592381756711, 88.03128509223856]",0.040322580645161290323,0.0029945089096576180760,0.0023526339073929128653,0.0013620265454595315616,0.040322580645161290323,-0.00027804368951869801951,-0.00024150620559037050380,-0.00012883215379993226256
8,75431.0,"(1035, 567)","[(104, 477), (145, 427), (171, 363), (189, 314), (224, 307), (257, 307), (297, 307), (345, 307), (392, 307), (441, 306), (497, 307), (555, 306), (604, 307), (643, 307), (681, 307), (723, 307), (765, 307), (803, 307), (844, 307), (887, 307), (930, 306), (971, 306), (1021, 307), (1081, 307), (1138, 307), (1174, 313), (1166, 340), (1131, 391), (1091, 442), (1058, 500), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41.84474760924277, 44.678427059180656, 91.57496885129657, 94.41720607853887, 96.92900957727261, 99.44737892076702, 101.72954761126687, 103.61609854975481, 105.48432608120524, 107.27889338114889, 109.03569360801464, 110.47809233609658, 111.99088800179985, 113.75273965740507, 115.26669325290206, 115.60468105245107, 112.94857858844514, 107.31970110391444, 101.35246203618976, 94.87156016225305, 88.03128509223856]",0.0080645161290322580645,0.00024850287374505092236,0.00022249348720255656623,0.00011912402981717228461,0.0080645161290322580645,-0.000036264513137114942162,-0.000036711032736281361273,-0.000018202027583949358118
9,38119.0,"(1035, 567)","[(104, 477), (105, 418), (118, 422), (146, 454), (182, 481), (225, 502), (262, 527), (295, 551), (330, 563), (372, 566), (412, 566), (442, 566), (471, 566), (501, 566), (532, 566), (563, 567), (600, 567), (640, 567), (674, 567), (701, 567), (722, 567), (744, 567), (774, 567), (811, 567), (850, 567), (888, 567), (920, 567), (950, 567), (975, 567), (1004, 567), (1035, 567)]",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.168389082256837, 32.0096947510135, 33.47653167758334, 34.58115797611457, 69.17503018125606, 70.83962333516007, 73.0115516374311, 75.54380763473765, 78.05019989667187, 80.34387751734872, 82.17002277027709, 83.80037729167535, 85.10214430751579, 86.55104044006328, 88.03128509223856]",0.0080645161290322580645,0.00054547939539271040036,0.00041217242091524183500,0.00024181346941418424009,0.0080645161290322580645,-0.000052340096077872503474,-0.000045976460250477201904,-0.000024402104460014315581
