,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo,max-lo-fog,max-la-fog,max-lb-fog,max-lm-fog
0,61091.0,"(735, 307)","[(104, 477), (97, 523), (97, 561), (104, 591), (118, 613), (139, 626), (168, 631), (203, 628), (245, 617), (294, 597), (350, 569), (413, 533), (483, 489), (560, 436), (644, 376), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.64532575157692, 84.9043219784279, 100.12211355789128]",0.01562500000000000000,0.0023391288737217933780,0.0017147438953290157481,0.0010563152893255015083,0.01562500000000000000,-0.0075203473673502779541,0.32621852391364222751,-0.0051571073768100648292,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
1,41981.0,"(735, 307)","[(104, 477), (193, 455), (276, 435), (352, 417), (422, 399), (484, 384), (540, 370), (589, 357), (631, 346), (666, 336), (695, 327), (716, 320), (731, 315), (739, 310), (740, 308), (735, 307)]",0,"[0, 0, 0, 0, 0, 35.12055423931745, 39.13026710594535, 42.328072979909955, 87.98635341916032, 91.91913971954753, 95.06713351020284, 97.29909007062844, 98.8374203035961, 99.94672623658306, 100.26569933238989, 100.12211355789128]",0.01562500000000000000,0.00063262543611625726694,0.00047633199262331835785,0.00027654176805408191877,0.01562500000000000000,0.00026932942017323753276,0.00013252957472565520357,0.000089330292893054502273,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
2,87247.00000000001,"(735, 307)","[(104, 477), (245, 444), (372, 415), (485, 389), (584, 365), (669, 345), (739, 328), (795, 314), (838, 302), (865, 294), (879, 289), (879, 286), (864, 287), (835, 290), (792, 297), (735, 307)]",0,"[0, 0, 0, 34.81686182703552, 41.543248376918065, 90.90157079305365, 97.59402419825443, 102.35651749517382, 105.82495444815532, 107.91724896873322, 109.06149841475599, 109.4147998881389, 108.71095012772409, 107.15666058966426, 104.34934970930482, 100.12211355789128]",0.01562500000000000000,0.00043199692910651741259,0.00037143681724392590780,0.00020230305055580430683,0.01562500000000000000,0.00011264131706069134180,0.000080910640769302648033,0.000047229849110060018973,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
3,78855.0,"(735, 307)","[(104, 477), (225, 516), (335, 548), (434, 573), (521, 590), (597, 601), (662, 604), (715, 600), (757, 588), (788, 570), (808, 544), (816, 511), (812, 471), (798, 423), (772, 368), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 31.17172255033236, 33.54657367892948, 69.78486847291033, 73.70122803407588, 77.55925149178123, 81.34974537876981, 85.22974997363882, 89.6075344798893, 94.48866454198247, 100.12211355789128]",0.01562500000000000000,0.00072384400010409477937,0.00059076073889498896839,0.00033219878493960043623,0.01562500000000000000,0.00033317117813244806597,0.00019727269966223666541,0.00012489719024488865476,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
4,38325.0,"(735, 307)","[(104, 477), (142, 507), (181, 531), (221, 549), (261, 562), (301, 568), (342, 569), (384, 563), (426, 552), (468, 535), (512, 512), (555, 482), (599, 447), (644, 406), (689, 359), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.5753465494784, 36.8167219024034, 81.00392527827464, 90.41835765611947, 100.12211355789128]",0.01562500000000000000,0.0016742738559050591820,0.0011179779741547085568,0.00070040476262100474928,0.01562500000000000000,0.038814416081616223757,0.0014060711619662989402,0.0014859609808757089652,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
5,69971.0,"(735, 307)","[(104, 477), (226, 493), (338, 506), (437, 515), (525, 520), (602, 520), (667, 517), (721, 510), (763, 498), (793, 483), (812, 464), (820, 440), (816, 413), (800, 381), (773, 346), (735, 307)]",0,"[0, 0, 0, 0, 0, 32.72859218517877, 35.76892247425479, 74.91401350887892, 79.1975345966973, 82.77197006054863, 85.9716775545873, 89.02672843901314, 91.77099233869981, 94.52919002672095, 97.23421924852516, 100.12211355789128]",0.01562500000000000000,0.00061514534683199405527,0.00051059177926193429490,0.00028407930251740354703,0.01562500000000000000,0.00022829049949608443354,0.00014535121397083195510,0.000089315449357769388708,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
6,85533.0,"(735, 307)","[(104, 477), (225, 526), (335, 567), (434, 599), (521, 623), (598, 638), (662, 644), (716, 641), (758, 630), (789, 610), (808, 581), (816, 543), (813, 497), (798, 442), (772, 379), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 31.712092150738247, 33.81748988645449, 70.04403030222042, 74.02468264471123, 78.17858143904216, 82.58520655202062, 87.49864357297969, 93.16558297556566, 100.12211355789128]",0.01562500000000000000,0.00082485372718351070990,0.00065778328907855544715,0.00037472920770047773806,0.01562500000000000000,0.00047961628522804236516,0.00025798698547065082043,0.00016957301774391621021,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
7,74903.0,"(735, 307)","[(104, 477), (233, 486), (351, 492), (456, 496), (548, 496), (628, 494), (695, 489), (750, 480), (792, 469), (821, 455), (838, 437), (843, 417), (834, 394), (814, 368), (780, 339), (735, 307)]",0,"[0, 0, 0, 0, 31.400087875738638, 35.359184683574654, 75.20122280843805, 80.2229540060861, 84.19580500970069, 87.47080761063071, 90.37918585820557, 92.82174090181837, 94.88727258635669, 96.80708726798952, 98.48042575272376, 100.12211355789128]",0.01562500000000000000,0.00054571427460477588778,0.00046190853241001693527,0.00025423352515559961746,0.01562500000000000000,0.00017200530968113232846,0.00011666265382716935749,0.000069825100741811624915,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
8,42309.0,"(735, 307)","[(104, 477), (195, 469), (279, 461), (356, 452), (426, 443), (490, 433), (546, 423), (595, 412), (637, 401), (672, 389), (700, 377), (721, 364), (735, 350), (742, 336), (742, 322), (735, 307)]",0,"[0, 0, 0, 0, 0, 32.082453079123226, 35.78278262003914, 38.84847099448531, 81.07951521365229, 85.33099660006536, 88.85016700484394, 91.88718668892884, 94.53475002472851, 96.73653411784738, 98.54339198554862, 100.12211355789128]",0.01562500000000000000,0.00066137734891911150912,0.00050221040237186777101,0.00029076584822897323842,0.01562500000000000000,0.00028915744659045748290,0.00014332881938224809825,0.000096420044890344371811,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
9,38323.0,"(735, 307)","[(104, 477), (155, 425), (205, 379), (254, 339), (301, 304), (347, 276), (392, 253), (436, 236), (478, 225), (518, 219), (558, 219), (596, 225), (632, 237), (668, 254), (702, 278), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 48.341735646627114, 50.63096606038044, 52.1199589003513, 104.09671394218992, 104.34934970930482, 103.82387621390825, 102.25317982961366, 100.12211355789128]",0.01562500000000000000,0.00092856353102076728508,0.00058342398895894651204,0.00036670984883120131785,0.01562500000000000000,0.00091155793491173472034,0.00024175145503165591360,0.00019344220349868188478,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000,0.0312500000000000000
