,cost,target,path,target_index,vis1-flat,vis2-dist,vis3-angle,vis4-angle-dist,no-vis,l_agnostic-vis1-flat,l_a-vis1-flat,l_b-vis1-flat,l_multi-vis1-flat,ratio-l_agnostic-vis1-flat-vis1-flat,ratio-l_a-vis1-flat-vis1-flat,ratio-l_b-vis1-flat-vis1-flat,ratio-l_multi-vis1-flat-vis1-flat,l_agnostic-vis2-dist,l_a-vis2-dist,l_b-vis2-dist,l_multi-vis2-dist,ratio-l_agnostic-vis2-dist-vis2-dist,ratio-l_a-vis2-dist-vis2-dist,ratio-l_b-vis2-dist-vis2-dist,ratio-l_multi-vis2-dist-vis2-dist,l_agnostic-vis3-angle,l_a-vis3-angle,l_b-vis3-angle,l_multi-vis3-angle,ratio-l_agnostic-vis3-angle-vis3-angle,ratio-l_a-vis3-angle-vis3-angle,ratio-l_b-vis3-angle-vis3-angle,ratio-l_multi-vis3-angle-vis3-angle,l_agnostic-vis4-angle-dist,l_a-vis4-angle-dist,l_b-vis4-angle-dist,l_multi-vis4-angle-dist,ratio-l_agnostic-vis4-angle-dist-vis4-angle-dist,ratio-l_a-vis4-angle-dist-vis4-angle-dist,ratio-l_b-vis4-angle-dist-vis4-angle-dist,ratio-l_multi-vis4-angle-dist-vis4-angle-dist,l_agnostic-no-vis,l_a-no-vis,l_b-no-vis,l_multi-no-vis,ratio-l_agnostic-no-vis-no-vis,ratio-l_a-no-vis-no-vis,ratio-l_b-no-vis-no-vis,ratio-l_multi-no-vis-no-vis
0,64961.0,"(1035, 307)","[(104, 477), (158, 495), (214, 509), (271, 518), (328, 524), (387, 525), (447, 522), (508, 515), (570, 504), (634, 488), (698, 469), (763, 445), (829, 416), (897, 384), (965, 347), (1035, 307)]",1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 36.19724019794796, 96.28599231634286, 207.51360540877454, 336.4918676309149, 468.7810804286361, 598.5816126583416, 714.3501202479406, 787.4312518277052]","[0, 0, 0, 0, 0, 0, 0, 0, 32.065179081337014, 35.96257399368713, 77.66557237256704, 84.9579042256812, 92.1655834850977, 99.11052135484539, 105.90574247240832, 112.41879336926792]","[0, 0, 0, 0, 0, 0, 0, 0, 41.54925469459298, 144.05419791298266, 393.11502135194854, 834.243905799668, 1582.325080078472, 2895.0423414479374, 5492.100340992023, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.23641446413376088,0.2350457056141844,0.2346220184108113,0.23422008615563653,0.25142389909259644,0.2499682411015802,0.24951765492844558,0.24909020487737787,0.23641446413376088,0.22302599348570998,0.2314531708457623,0.22937227469075155,0.25689799363748533,0.24234951302754845,0.2515068417204316,0.24924565161453452,0.23641446413376088,0.23180905140080257,0.23273143770506105,0.2323699458111177,0.25330350060757106,0.2483690852312725,0.24935736520237003,0.24897004895878647,0.23641446413376088,0.3297308592146075,-0.24216199887541356,0.5606858632078016,0.26723487991431427,0.37271656321503405,-0.27373169795849234,0.6337802548291439,0.23196807993787427,0.23196807993787427,0.23196807993787427,0.23196807993787427,0.25,0.25,0.25,0.25
1,60869.0,"(1035, 307)","[(104, 477), (158, 477), (213, 476), (269, 473), (327, 468), (385, 462), (445, 454), (506, 444), (568, 433), (631, 420), (696, 405), (761, 389), (828, 371), (895, 351), (964, 330), (1035, 307)]",1,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 12.98357317232103, 73.0199067872133, 148.9303619831719, 276.7318300888087, 402.87451607632676, 529.5620923568737, 647.9900952950948, 742.5155894010918, 787.4312518277052]","[0, 0, 0, 0, 0, 0, 0, 32.28263970294583, 36.229490323837666, 78.16516279030697, 85.07148511889288, 91.3119735251004, 97.19022644747892, 102.63332534077679, 107.66686346241002, 112.41879336926792]","[0, 0, 0, 0, 0, 0, 0, 15.122075489397172, 111.29227107182393, 292.2901546275207, 694.7968491320958, 1314.4533446799658, 2309.9198184512866, 3926.5593164700495, 6672.97806372165, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.237482473032177,0.23616765573957468,0.23541732411781416,0.23523254457435822,0.2514904941967341,0.2500981217556312,0.24930353145193987,0.24910785259569485,0.237482473032177,0.2301422568863937,0.23418095958758994,0.23314593157619184,0.25400509253864273,0.24615418776424827,0.25047387940403687,0.24936684029307207,0.237482473032177,0.2344080820556925,0.23411779952412232,0.2341906631807893,0.2525874506758078,0.24931751429180476,0.24900876845600114,0.24908626657638638,0.237482473032177,-0.05850038112606423,0.20107432244850224,0.18138734270234028,0.42298533031526037,-0.10419633381038683,0.35813796114239166,0.3230730423527348,0.23248556581366367,0.23248556581366367,0.23248556581366367,0.23248556581366367,0.25,0.25,0.25,0.25
2,72571.0,"(1035, 307)","[(104, 477), (180, 420), (254, 370), (326, 326), (396, 289), (464, 259), (530, 234), (594, 216), (656, 205), (716, 200), (774, 202), (830, 210), (884, 224), (936, 245), (986, 273), (1035, 307)]",1,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 20.930067735408784, 87.94053827147712, 169.70069049576824, 292.57929838630463, 411.3818021984856, 527.1170647317895, 640.1304693653514, 749.8990295474105, 839.8739341302386, 835.2704480006956, 787.4312518277052]","[0, 0, 0, 0, 0, 44.37882866936884, 49.72672082696285, 105.49522710467178, 110.7533908759491, 114.24819586260949, 116.20763878332545, 117.06433210074542, 117.02323671272376, 116.12502136826265, 114.50914577051984, 112.41879336926792]","[0, 0, 0, 0, 0, 59.46109100324822, 425.6668705622032, 1378.9346514389745, 3944.064143292635, 9787.787261821912, 22198.314339321212, 41713.10736972967, 46809.74558544754, 32753.167470921784, 19464.501873469955, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.2503321568611338,0.256947565131555,0.25158743256854865,0.2544675487930074,0.2470379786979642,0.2535663332964236,0.2482767359449624,0.2511189520606498,0.2503321568611338,0.264355961898792,0.26015787181138383,0.26142317329686904,0.24157059342255788,0.2551035687600756,0.2510524107851171,0.25227342703224936,0.2503321568611338,0.2609899230958587,0.2532653063964735,0.2563099120435519,0.24520797268657463,0.25564757934579435,0.24808108199927947,0.25106336596835155,0.2503321568611338,0.26505595171419677,0.26462052796799257,0.2646945899358023,0.23962035391123182,0.25371411229148044,0.2532973204838475,0.2533682133134402,0.24149737847632907,0.24149737847632907,0.24149737847632907,0.24149737847632907,0.25,0.25,0.25,0.25
3,80481.0,"(1035, 307)","[(104, 477), (212, 426), (313, 382), (409, 343), (497, 310), (579, 282), (654, 259), (723, 242), (785, 231), (840, 225), (889, 225), (932, 230), (967, 241), (996, 257), (1019, 279), (1035, 307)]",1,"[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 47.32572416802827, 132.85697609787002, 287.0161445457708, 427.16834929089265, 551.9215627417966, 661.9719196170263, 759.9515826939598, 845.5284468811958, 861.4514976187212, 852.7861817009027, 829.9303745617058, 787.4312518277052]","[0, 0, 0, 0, 41.595090363777736, 47.580389859152746, 102.25188527791224, 108.4489566462779, 112.66655374822295, 115.47128189011977, 117.0555748489518, 117.73637476265066, 117.47261702765778, 116.52433158999523, 114.83704881130507, 112.41879336926792]","[0, 0, 0, 0, 106.9561226981611, 508.98431162941125, 1754.0766511095524, 4302.24975779545, 9466.916940442734, 20985.531557208706, 48427.04273425194, 103684.81534050277, 73824.09451868571, 37462.00910453112, 20483.26068281679, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.25158973527620143,0.2569091931022686,0.251358572099265,0.25401936314995266,0.2481462436927541,0.2533928944615999,0.24791824443048735,0.25054261741515854,0.25158973527620143,0.2626092881686383,0.2584068374418367,0.25988296731670213,0.24367308236544283,0.25434588829944205,0.25027567406369644,0.25170535527141863,0.25158973527620143,0.25967177749092946,0.25279493107566514,0.2555966282294377,0.24674052593682413,0.25466679266037057,0.24792249246296266,0.2506701889398425,0.25158973527620143,0.26453289630608506,0.26476265073982586,0.2647264942873021,0.24061486385704905,0.25299341708246714,0.2532131491463942,0.25317856991408966,0.24298347604532283,0.24298347604532283,0.24298347604532283,0.24298347604532283,0.25,0.25,0.25,0.25
4,75453.0,"(1035, 307)","[(104, 477), (141, 419), (182, 368), (226, 324), (274, 286), (326, 255), (381, 231), (439, 213), (501, 202), (567, 197), (636, 199), (709, 207), (785, 222), (864, 244), (948, 272), (1035, 307)]",1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 58.291951624152546, 123.80191388046643, 251.83161562207698, 398.59865109148444, 551.8774501867204, 707.4884167888742, 818.9219921017605, 787.4312518277052]","[0, 0, 0, 0, 0, 0, 0, 0, 51.589654178205336, 54.38922257994693, 110.7123590778545, 112.91000133671503, 113.87936370421357, 113.92129461765029, 113.44296978216241, 112.41879336926792]","[0, 0, 0, 0, 0, 0, 0, 0, 357.566940692219, 1200.0992635712898, 3419.8888331769535, 7278.514116072082, 11856.401960773183, 15110.33497236931, 15602.372290624035, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.24680654984691922,0.2528749426034714,0.25176796935630635,0.2541470147636246,0.2454329898695304,0.2514676100158231,0.25036679744044443,0.25273260267420206,0.24680654984691922,0.2641078356251047,0.2600764488958871,0.26103134071884815,0.23914849487238088,0.25591294644701007,0.2520066478939982,0.2529319107866107,0.24680654984691922,0.26316228440695444,0.2559411758802576,0.2583400887199224,0.2409631691742574,0.25693166610516743,0.24988152421621282,0.25222364050436236,0.24680654984691922,0.26464480301302495,0.26266210503302856,0.2630249892817607,0.2379687596378713,0.25516825042398467,0.2532565500281528,0.2536064399099913,0.23796445621275897,0.23796445621275897,0.23796445621275897,0.23796445621275897,0.25,0.25,0.25,0.25
5,74577.0,"(1035, 307)","[(104, 477), (121, 441), (145, 409), (175, 380), (212, 355), (255, 333), (304, 314), (360, 300), (422, 288), (490, 280), (565, 276), (646, 275), (734, 278), (828, 284), (928, 293), (1035, 307)]",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 44.90330697751716, 119.82898584978892, 267.46258744351763, 440.057122669322, 618.0780175196116, 770.4821136346309, 787.4312518277052]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 43.80375028805934, 47.51332714271645, 99.3428615771559, 103.97341692457636, 107.59799896877837, 110.41621322871681, 112.41879336926792]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 121.4437466039509, 455.9640402959644, 1357.545273612515, 2991.235731834294, 5633.210596240259, 9374.538626099507, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.23931197891487044,0.2402352741698324,0.23908463997576943,0.23967109412004675,0.2497247552352567,0.25068822427095117,0.24948752448241318,0.250099496011379,0.23931197891487044,0.23051300731381547,0.24048101350326803,0.23887408401224727,0.25212494763992926,0.24285487154820817,0.25335657334343764,0.2516636074684248,0.23931197891487044,0.2426853151480739,0.23895778352907687,0.2400080278105942,0.249033472325252,0.25254384250932904,0.24866488857442717,0.24975779659099176,0.23931197891487044,0.44362281461291314,0.22641960854722484,0.21228319349813643,0.21335944859496667,0.3955135030813821,0.20186520979757888,0.18926183852607217,0.23299216090519126,0.23299216090519126,0.23299216090519126,0.23299216090519126,0.25,0.25,0.25,0.25
6,75729.0,"(1035, 307)","[(104, 477), (191, 419), (274, 368), (355, 323), (431, 285), (504, 254), (573, 229), (639, 211), (701, 200), (759, 195), (814, 197), (865, 206), (913, 221), (957, 243), (998, 271), (1035, 307)]",1,"[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 61.168597295043185, 130.99457998560507, 259.285043748436, 381.5215246218649, 495.6122041173791, 604.8194084816153, 287.957551419533, 807.2754221438461, 857.9974753605456, 839.2275720319881, 787.4312518277052]","[0, 0, 0, 0, 0, 46.80197791142216, 51.764464282755526, 108.91463814745524, 113.61383340545447, 116.64417176576157, 118.25177517327066, 58.51732587721264, 118.2469684742515, 116.96673125073502, 115.07754399108197, 112.41879336926792]","[0, 0, 0, 0, 0, 216.9121494313072, 823.3665045858397, 2828.5856520138873, 7978.414890238053, 25787.48981807485, 401217.615538305, 11364.942313515867, 492710.8069694828, 49958.71661877558, 22326.38081117901, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.2515062812802714,0.2590102366646073,0.25345137765041104,0.2566674785972286,0.24642128583800274,0.25377352501575284,0.24832705592918589,0.25147813321705864,0.2515062812802714,0.2647238663865107,0.2600597365311482,0.26168520821270586,0.24230473651941192,0.2550387464228116,0.250545257234617,0.25211125982315946,0.2515062812802714,0.26343752779633595,0.2551802686268237,0.2585761316948722,0.24448938474249934,0.25608775558665736,0.24806086972226932,0.2513619899485739,0.2515062812802714,0.26531648563515897,0.2654431947946514,0.26543755841752925,0.24005482128153752,0.2532362262206041,0.25335716612111814,0.2533517863767402,0.24282630703289898,0.24282630703289898,0.24282630703289898,0.24282630703289898,0.25,0.25,0.25,0.25
7,105535.0,"(1035, 307)","[(104, 477), (107, 533), (119, 580), (139, 617), (168, 644), (205, 662), (250, 670), (304, 668), (366, 657), (436, 636), (515, 605), (602, 565), (698, 515), (802, 455), (914, 386), (1035, 307)]",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.57951649934688, 147.32113364517835, 375.99337015526197, 611.5622251495552, 787.4312518277052]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.3645989649919, 72.6199693193056, 86.32621043704063, 99.67087896549259, 112.41879336926792]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.08588861874773, 234.80390468586964, 982.493779395769, 3053.2675857062777, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.23374234898147533,0.23206456109003146,0.23224192540934607,0.23105934563100994,0.25157710773976405,0.24977130307077916,0.2499622004527206,0.24868938873673618,0.23374234898147533,0.2974540352653357,0.16814104658141255,0.8604597179925033,0.14985432506925309,0.19070046094790186,0.1077967392801906,0.5516484747026544,0.23374234898147533,0.21083266420266164,0.2231481795947544,0.21837411666674103,0.26378857772145947,0.23793398530299628,0.2518325890576987,0.2464448479178456,0.23374234898147533,0.26826378483267105,0.2709481892620314,0.2697572367582693,0.22416779288280547,0.25727516138332995,0.2598496072154895,0.2587074385183752,0.22997834244655715,0.22997834244655715,0.22997834244655715,0.22997834244655715,0.25,0.25,0.25,0.25
8,75907.0,"(1035, 307)","[(104, 477), (119, 491), (141, 501), (170, 508), (205, 511), (247, 511), (296, 506), (351, 499), (413, 487), (482, 472), (557, 454), (639, 432), (728, 406), (824, 376), (926, 343), (1035, 307)]",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53.06152548700845, 151.47218425679387, 329.6697182602081, 517.1800588336642, 693.2810766752241, 787.4312518277052]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.365816179942684, 77.33962251485605, 87.16529645704566, 96.40599918795559, 104.81113611636243, 112.41879336926792]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71.13558379366413, 287.8569873409508, 898.6682138513013, 2162.308470117825, 4910.712087623836, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.23534350305624688,0.23395003978282078,0.23391230792586257,0.233175416156195,0.2513329894243503,0.24984485278316362,0.24980455738395912,0.24901760040852697,0.23534350305624688,0.09745501456886942,0.22468739244395028,0.2147483994267593,0.3047566006357543,0.1261987629538185,0.2909575366971762,0.2780870997132511,0.23534350305624688,0.22767659005415522,0.23007165945926944,0.22900450680932455,0.255226610738822,0.24691195494870408,0.24950937293056122,0.2483520613819127,0.23534350305624688,0.27637287800370186,0.2954044605219434,0.28579332180455574,0.2153357609778096,0.25287702114441174,0.2702906325292906,0.26149658534848813,0.23099422227415564,0.23099422227415564,0.23099422227415564,0.23099422227415564,0.25,0.25,0.25,0.25
9,83431.0,"(1035, 307)","[(104, 477), (103, 478), (111, 478), (128, 475), (154, 471), (189, 466), (233, 458), (286, 448), (348, 437), (419, 424), (499, 409), (588, 392), (686, 373), (793, 353), (909, 331), (1035, 307)]",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.07098647085496, 109.43502461178116, 288.8608986954752, 495.08453067905623, 694.1541002651991, 787.4312518277052]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.20923932230302, 39.858564059021774, 88.39277852204893, 97.46944176069084, 105.44462587196932, 112.41879336926792]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.94886230563299, 216.56464571698532, 834.7564209586175, 2200.3284156783484, 5184.151320771168, 12167.726723810203]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.23525518560289535,0.2339048784070355,0.23391245552076703,0.23311171221109217,0.2512915488495232,0.24984919685290005,0.249857290466822,0.24900196383075482,0.23525518560289535,0.5391271246864074,0.22222231696454037,0.20561693849021265,0.19568371779896973,0.44844240034301935,0.18484306328925884,0.17103081856875207,0.23525518560289535,0.2207027600996759,0.23029592294611523,0.22800827931320558,0.2573169917701779,0.24139986610150588,0.2518926584235163,0.24939048370479988,0.23525518560289535,0.27379304618570033,0.2906648614756687,0.2821951791153449,0.21744466847033342,0.2530649345933039,0.26865943157673083,0.26083096535963174,0.23072458473122365,0.23072458473122365,0.23072458473122365,0.23072458473122365,0.25,0.25,0.25,0.25
